"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423398]"
"Start Date","Mon Mar 02 23:00:00 UTC 2020"
"End Date","Mon Apr 06 21:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"mensen","Keyword",21509,7.655265686728121
"jaar","Keyword",15308,5.448268498416201
"corona","Keyword",12152,4.325016905719472
"alle","Keyword",9628,3.4267003594689824
"gewoon","Keyword",9103,3.2398476705698123
"mee","Keyword",9079,3.2313058333629927
"tijd","Keyword",7730,2.751183400363028
"coronavirus","Keyword",7302,2.5988539701747517
"maken","Keyword",7166,2.550450226002776
"denk","Keyword",6698,2.383884400469801
"ga","Keyword",6676,2.3760543830302168
"komen","Keyword",6674,2.375342563262982
"thuis","Keyword",6585,2.343666583621027
"vandaag","Keyword",6431,2.288856461543937
"weken","Keyword",6355,2.2618073103890093
"vind","Keyword",6289,2.2383172580702566
"dag","Keyword",6145,2.187066234829341
"hoor","Keyword",5956,2.11979926682564
"jullie","Keyword",5935,2.112325159269673
"Nederland","Keyword",5930,2.110545609851586
"zit","Keyword",5894,2.097732854041357
"RIVM","Keyword",5808,2.0671246040502544
"zie","Keyword",5570,1.9824180517492973
"week","Keyword",5545,1.9735203046588605
"helemaal","Keyword",5463,1.944335694202228
"erg","Keyword",5364,1.9091006157240988
"staat","Keyword",5224,1.8592732320176533
"allemaal","Keyword",5167,1.8389863686514574
"nodig","Keyword",5115,1.820479054703349
"steeds","Keyword",4988,1.7752784994839306
"hele","Keyword",4978,1.771719400647756
"blijven","Keyword",4929,1.7542798163505
"lang","Keyword",4913,1.7485852582126205
"niks","Keyword",4857,1.7286543047300422
"laat","Keyword",4809,1.711570630316404
"elkaar","Keyword",4747,1.6895042175321209
"Lees","Keyword",4687,1.6681496245150726
"beetje","Keyword",4640,1.6514218599850516
"zitten","Keyword",4556,1.6215254297611843
"paar","Keyword",4548,1.6186781506922445
"virus","Keyword",4513,1.6062213047656333
"dagen","Keyword",4512,1.605865394882016
"nieuwe","Keyword",4295,1.5286329501370255
"Nou","Keyword",4286,1.525429761184468
"kinderen","Keyword",4257,1.5151083745595615
"staan","Keyword",4247,1.5115492757233868
"leven","Keyword",4151,1.47738192689611
"mooi","Keyword",4124,1.4677723600384383
"werk","Keyword",4077,1.4510445955084172
"grote","Keyword",4038,1.437164110047336
"natuurlijk","Keyword",4009,1.4268427234224295
"man","Keyword",3979,1.4161654269139055
"hoop","Keyword",3929,1.398369932733032
"#coronavirus","Hashtag",3875,1.3791507990176886
"keer","Keyword",3807,1.354948926931701
"terug","Keyword",3794,1.3503220984446738
"zorg","Keyword",3702,1.3175783891518669
"toe","Keyword",3696,1.315442929850162
"face with tears of joy","Emoji",3686,1.3118838310139873
"sterkte","Keyword",3673,1.30725700252696
