"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000484775]"
"Start Date","Mon Dec 31 23:00:00 UTC 2018"
"End Date","Tue Dec 31 22:59:59 UTC 2019"

"Topic Name","Type","Mentions","Percentage Volume"
"jaar","Keyword",990460,2.4146374725816044
"nieuwe","Keyword",937544,2.2856338212487612
"mensen","Keyword",925463,2.2561816118649816
"mee","Keyword",862544,2.1027916969392275
"vandaag","Keyword",770903,1.8793805620878952
"gewoon","Keyword",758159,1.848312028325219
"dag","Keyword",728696,1.7764843282114622
"Mooi","Keyword",659110,1.6068409673820865
"maken","Keyword",652509,1.5907484225478565
"face with tears of joy","Emoji",641252,1.563305038636491
"uur","Keyword",627430,1.5296084540737396
"ga","Keyword",615566,1.500685267902962
"alle","Keyword",579261,1.4121774902621942
"staat","Keyword",572142,1.3948221158227332
"Lekker","Keyword",563765,1.3743998694848538
"jullie","Keyword",545980,1.3310419070735864
"hoor","Keyword",545751,1.3304836291206945
"tijd","Keyword",542631,1.322877396749418
"Lees","Keyword",535837,1.306314338181965
"Nederland","Keyword",534723,1.303598523162221
"vind","Keyword",528189,1.2876693172923743
"zie","Keyword",527147,1.2851290307119674
"mooie","Keyword",508278,1.2391283901306793
"denk","Keyword",495094,1.2069871825720544
"komen","Keyword",491673,1.1986471438085489
"leuk","Keyword",483452,1.1786052090892332
"zit","Keyword",476056,1.1605745377373224
"winking face","Emoji",473370,1.1540263517920504
"Amsterdam","Keyword",463258,1.1293743576451436
"Dank","Keyword",460175,1.1218583273885263
"Nou","Keyword",450454,1.0981595501830201
"laat","Keyword",439740,1.0720399432516556
"man","Keyword",438595,1.0692485534871967
"terug","Keyword",424599,1.035127775196047
"week","Keyword",416817,1.0161560763776898
"keer","Keyword",412162,1.0048076751955448
"helemaal","Keyword",411897,1.0041616330229846
"graag","Keyword",407398,0.9931935434594032
"steeds","Keyword",406163,0.9901827431457729
"hele","Keyword",404904,0.9871134333523636
"allemaal","Keyword",371593,0.9059047133140321
"natuurlijk","Keyword",364625,0.8889174610181809
"erg","Keyword",363775,0.8868452502760064
"Goedemorgen","Keyword",361800,0.8820304076691886
"grote","Keyword",360174,0.8780663904141579
"#vacature","Hashtag",354248,0.8636194246987139
"werk","Keyword",352104,0.8583925778384521
"weten","Keyword",349110,0.8510935202360156
"staan","Keyword",339835,0.8284820441964034
"morgen","Keyword",330163,0.8049027238454458
"NL","Keyword",326429,0.7957996239498218
"nieuws","Keyword",325923,0.7945660490844803
"snel","Keyword",323695,0.7891344190449918
"doe","Keyword",323508,0.7886785326817133
"leven","Keyword",316907,0.7725859878474836
"Den","Keyword",314661,0.7671104756981607
"beetje","Keyword",309987,0.7557157545111907
"maakt","Keyword",307271,0.7490944317161947
"nodig","Keyword",302290,0.7369512767670509
"Rotterdam","Keyword",296466,0.7227529763406679
