"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000484775]"
"Start Date","Tue Jan 14 23:00:00 UTC 2020"
"End Date","Fri Feb 14 22:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"jaar","Keyword",88153,2.461445415431216
"mensen","Keyword",87310,2.43790681226163
"nieuwe","Keyword",74982,2.093679173027162
"mee","Keyword",73494,2.0521306065783556
"gewoon","Keyword",69025,1.9273452951134922
"dag","Keyword",64159,1.7914747814442091
"vandaag","Keyword",63966,1.7860857536722876
"alle","Keyword",60684,1.6944443591259277
"face with tears of joy","Emoji",60642,1.6932716173310016
"maken","Keyword",58769,1.6409729177620402
"Mooi","Keyword",55179,1.5407314167195565
"ga","Keyword",53041,1.4810332748730857
"uur","Keyword",51656,1.4423607180642166
"Lees","Keyword",50656,1.4144382943755025
"zie","Keyword",50066,1.397964064399161
"staat","Keyword",49705,1.3878840694475352
"hoor","Keyword",48747,1.3611343875537472
"lekker","Keyword",48675,1.3591239730481597
"Nederland","Keyword",48344,1.3498816508071954
"tijd","Keyword",47326,1.3214566234920844
"jullie","Keyword",46296,1.2926965270927089
"vind","Keyword",46043,1.2856321538994642
"denk","Keyword",45158,1.2609208089349522
"winking face","Emoji",44338,1.2380244215102068
"komen","Keyword",44049,1.2299548410641683
"zit","Keyword",43272,1.2082591178580373
"Dank","Keyword",41628,1.1623546533137914
"Nou","Keyword",41207,1.1505993129408427
"leuk","Keyword",40622,1.134264695082945
"mooie","Keyword",40315,1.1256925110105098
"man","Keyword",38557,1.0766048901657503
"laat","Keyword",38515,1.0754321483708242
"steeds","Keyword",38346,1.0707132587674317
"helemaal","Keyword",37009,1.0333809782956207
"keer","Keyword",36527,1.0199223700776607
"hele","Keyword",35485,0.9908272045940205
"Amsterdam","Keyword",35359,0.9873089792092427
"Goedemorgen","Keyword",35359,0.9873089792092427
"week","Keyword",35070,0.9792393987632042
"graag","Keyword",34371,0.959721624604793
"goede","Keyword",34232,0.9558404077120617
"allemaal","Keyword",34118,0.9526572514115483
"erg","Keyword",32576,0.9096008740835512
"natuurlijk","Keyword",32365,0.9037092426852325
"grote","Keyword",31962,0.8924565059386806
"werk","Keyword",31293,0.873776404490931
"Fijne","Keyword",31040,0.8667120312976861
"weten","Keyword",30956,0.8643665477078342
"staan","Keyword",30029,0.8384824609483963
"foto","Keyword",29733,0.8302174235365368
"doe","Keyword",28782,0.8036631986085698
"beetje","Keyword",28342,0.7913773321855355
"geld","Keyword",28330,0.7910422631012709
"leven","Keyword",28252,0.7888643140535513
"NL","Keyword",28216,0.7878591068007577
"maakt","Keyword",28041,0.7829726826552327
"nodig","Keyword",27601,0.7706868162321985
"morgen","Keyword",27577,0.7700166780636692
"per","Keyword",26776,0.7476508166890092
"Den","Keyword",26367,0.7362305454003252
