"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000484775]"
"Start Date","Tue Mar 03 23:00:00 UTC 2020"
"End Date","Tue Apr 07 21:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"mensen","Keyword",197513,3.8634694762966806
"corona","Keyword",157788,3.0864253073261034
"coronavirus","Keyword",122043,2.3872322596268387
"gewoon","Keyword",119429,2.3361008950531676
"alle","Keyword",105583,2.065265059595229
"mee","Keyword",101415,1.9837365486759246
"dag","Keyword",99079,1.9380430262413046
"tijd","Keyword",92309,1.805617877747137
"vandaag","Keyword",89828,1.7570880707435879
"nieuwe","Keyword",88587,1.7328133869501958
"jaar","Keyword",86768,1.6972326860475535
"maken","Keyword",85449,1.6714322767619096
"ga","Keyword",83522,1.6337390328699952
"face with tears of joy","Emoji",80993,1.5842703178712139
"mooi","Keyword",80390,1.572475286181113
"denk","Keyword",77644,1.518761924620554
"jullie","Keyword",77030,1.506751726514879
"Nederland","Keyword",76716,1.5006097033794037
"hoor","Keyword",74717,1.4615080974946415
"komen","Keyword",74566,1.4585544494263076
"thuis","Keyword",72669,1.421448023031413
"lekker","Keyword",71597,1.400479077804567
"Zie","Keyword",71164,1.3920093452642457
"Lees","Keyword",68839,1.3465309892452002
"Dank","Keyword",67797,1.326148861515374
"vind","Keyword",67267,1.315781752401355
"zit","Keyword",66930,1.3091898358514975
"staat","Keyword",64039,1.252640189722009
"uur","Keyword",63292,1.2380284340462122
"allemaal","Keyword",61563,1.2042081856346294
"week","Keyword",61232,1.1977336325841759
"winking face","Emoji",60877,1.1907896255361066
"nou","Keyword",60052,1.1746521443680582
"laat","Keyword",58745,1.1490864620812227
"#coronavirus","Hashtag",57516,1.1250465052866387
"blijven","Keyword",56673,1.1085569336203784
"helemaal","Keyword",55788,1.09124581745829
"nodig","Keyword",55125,1.078277150774149
"hele","Keyword",55065,1.0771035157801094
"elkaar","Keyword",54330,1.0627264871031206
"man","Keyword",53607,1.04858418542494
"leuk","Keyword",52903,1.0348135348282053
"werk","Keyword",52867,1.0341093538317814
"doe","Keyword",51385,1.005120569478996
"steeds","Keyword",51337,1.0041816614837642
"erg","Keyword",50915,0.9959270953590169
"mooie","Keyword",50090,0.9797896141909684
"sterkte","Keyword",49247,0.963300042524708
"Goedemorgen","Keyword",48121,0.9412748258032261
"graag","Keyword",47874,0.9364433617444285
"virus","Keyword",47187,0.9230052410626718
"kinderen","Keyword",47001,0.919366972581148
"#corona","Hashtag",46669,0.9128728589474607
"weten","Keyword",46434,0.9082761218874712
"natuurlijk","Keyword",46193,0.9035620213280776
"goede","Keyword",46097,0.9016842053376137
"beetje","Keyword",46007,0.8999237528465539
"staan","Keyword",45507,0.8901434612295547
"werken","Keyword",45218,0.8844904526749292
"hoop","Keyword",45158,0.8833168176808894
