"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000484775]"
"Start Date","Mon Dec 31 23:00:00 UTC 2018"
"End Date","Tue Dec 31 22:59:59 UTC 2019"

"Topic Name","Type","Mentions","Percentage Volume"
"gente","Keyword",1241959,3.7197286604970645
"vida","Keyword",821450,2.460283397572153
"verdad","Keyword",780310,2.337067061853462
"España","Keyword",746083,2.2345555032087465
"coño","Keyword",745154,2.2317731022393086
"face with tears of joy","Emoji",644110,1.9291413223083567
"mundo","Keyword",555452,1.6636062252702508
"vía","Keyword",552866,1.6558610273079626
"madre","Keyword",487882,1.4612307317235342
"gracias","Keyword",484392,1.4507780090288762
"personas","Keyword",482852,1.4461656328255028
"alguien","Keyword",471674,1.41268696970777
"partido","Keyword",446251,1.336543826708833
"PSOE","Keyword",443867,1.329403628742052
"tiempo","Keyword",440558,1.3194930100037647
"estado","Keyword",439986,1.3177798416996547
"claro","Keyword",428494,1.283360733044351
"persona","Keyword",419730,1.2571121193778803
"quiero","Keyword",415582,1.244688654123599
"casa","Keyword",408122,1.2223455849825824
"Madrid","Keyword",402950,1.206855189058006
"año","Keyword",389772,1.1673864269748533
"pasa","Keyword",388748,1.1643194963045582
"xD","Keyword",385349,1.1541393231128267
"final","Keyword",376309,1.1270640757891282
"Vox","Keyword",361887,1.0838694721494841
"cara","Keyword",359413,1.0764597197292594
"cosa","Keyword",357838,1.0717425167939914
"país","Keyword",350300,1.0491658337933232
"días","Keyword",349741,1.0474916011324882
"mujeres","Keyword",343072,1.0275176161322948
"puto","Keyword",335952,1.0061928638153994
"veo","Keyword",334992,1.003317616311998
"mujer","Keyword",329248,0.9861140520833115
"falta","Keyword",328642,0.9842990520967891
"historia","Keyword",321839,0.963923730465913
"peor","Keyword",319748,0.9576610819975663
"digo","Keyword",317550,0.9510779632345695
"visto","Keyword",313910,0.9401759831175052
"caso","Keyword",299845,0.8980506121431885
"equipo","Keyword",292531,0.8761448202266474
"gobierno","Keyword",290724,0.8707327658113903
"hijo","Keyword",284726,0.8527684590140956
"pena","Keyword",279103,0.835927295772817
"mañana","Keyword",277025,0.8297035829477457
"mira","Keyword",271668,0.813659102868868
"Dios","Keyword",265873,0.7963027911165633
"favor","Keyword",257999,0.7727197714897047
"vergüenza","Keyword",255004,0.7637495982889881
"hijos","Keyword",254845,0.7632733854212372
"forma","Keyword",253309,0.7586729894157946
"hablar","Keyword",250448,0.7501041528457613
"vídeo","Keyword",246821,0.7392411083719719
"puedes","Keyword",245319,0.7347425440489416
"rolling on the floor laughing","Emoji",242252,0.7255567272854698
"ridículo","Keyword",241318,0.7227593510686187
"siento","Keyword",239980,0.7187519748607527
"paso","Keyword",237596,0.7116117768939719
"seguir","Keyword",236048,0.7069754402947368
"idea","Keyword",235635,0.7057384848583776
