"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000484775]"
"Start Date","Tue Jan 14 23:00:00 UTC 2020"
"End Date","Fri Feb 14 22:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"gente","Keyword",114201,3.54256845751964
"vida","Keyword",79884,2.4780390597323927
"verdad","Keyword",77393,2.400767074130853
"coño","Keyword",77212,2.395152369436402
"face with tears of joy","Emoji",61758,1.9157620581211894
"España","Keyword",58853,1.8256475987986391
"mundo","Keyword",51242,1.58955081742035
"madre","Keyword",48261,1.4970788025354889
"alguien","Keyword",47990,1.4886722557277743
"persona","Keyword",46342,1.437550524587133
"personas","Keyword",45128,1.3998916765260054
"vía","Keyword",45090,1.3987128987448498
"Gracias","Keyword",43300,1.3431862611588379
"quiero","Keyword",43119,1.3375715564643862
"partido","Keyword",41910,1.3000678107428842
"tiempo","Keyword",40964,1.270722448085696
"claro","Keyword",39630,1.2293411438735506
"pasa","Keyword",38107,1.1820969712235527
"Gobierno","Keyword",37169,1.1529997723097656
"estado","Keyword",36515,1.1327123862867197
"xD","Keyword",36321,1.1266944155092413
"cosa","Keyword",36033,1.117760520746799
"final","Keyword",34772,1.0786437106931894
"puto","Keyword",34385,1.0666387896061578
"veo","Keyword",33258,1.0316787222545178
"cara","Keyword",33245,1.0312754561714912
"año","Keyword",33167,1.0288558596733297
"días","Keyword",33167,1.0288558596733297
"peor","Keyword",32432,1.0060558157483472
"falta","Keyword",32277,1.0012476432199495
"Madrid","Keyword",31954,0.9912280320801272
"gusta","Keyword",31748,0.9848378156875469
"digo","Keyword",31296,0.9708165641853808
"equipo","Keyword",31175,0.9670630875664381
"hijos","Keyword",30349,0.9414401810602671
"visto","Keyword",30009,0.9308932219657176
"trabajo","Keyword",29231,0.9067592979199535
"PSOE","Keyword",28650,0.8887364060554435
"dios","Keyword",28646,0.8886123241837429
"mujeres","Keyword",27880,0.8648506457530809
"mujer","Keyword",27867,0.8644473796700538
"hijo","Keyword",27850,0.8639200317153264
"rolling on the floor laughing","Emoji",27561,0.8549551164849591
"caso","Keyword",27226,0.8445632597300351
"pena","Keyword",26589,0.8248032216617167
"mira","Keyword",26477,0.8213289292541004
"mañana","Keyword",25815,0.8007933794876536
"VOX","Keyword",25100,0.778613744921174
"país","Keyword",25040,0.7767525168456652
"pa","Keyword",24911,0.7727508764833213
"favor","Keyword",24902,0.772471692271995
"niños","Keyword",24610,0.7634137156378521
"forma","Keyword",24524,0.7607459553962896
"siento","Keyword",24309,0.7540765547923831
"idea","Keyword",24154,0.7492683822639855
"hablar","Keyword",24081,0.7470038881054497
"semana","Keyword",23625,0.732858554731583
"cabeza","Keyword",23409,0.7261581336597513
"vergüenza","Keyword",23263,0.72162914534268
"puedes","Keyword",23078,0.715890358776528
