"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000484775]"
"Start Date","Thu Feb 27 23:00:00 UTC 2020"
"End Date","Thu Apr 02 21:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"gente","Keyword",220025,4.871102039099435
"coronavirus","Keyword",150789,3.338296127139029
"gobierno","Keyword",141384,3.1300801758710812
"casa","Keyword",125852,2.786219446993488
"coño","Keyword",112256,2.485219545511402
"verdad","Keyword",110931,2.4558855598197455
"vida","Keyword",101125,2.238791926844361
"España","Keyword",99366,2.199849677160116
"días","Keyword",87388,1.9346704465075402
"personas","Keyword",81949,1.8142572026004302
"face with tears of joy","Emoji",78662,1.7414867792279958
"gracias","Keyword",78318,1.7338710123767282
"mundo","Keyword",77143,1.7078578552539383
"madre","Keyword",71735,1.5881309159177275
"cuarentena","Keyword",70199,1.5541256313725316
"estado","Keyword",69261,1.5333593833885515
"virus","Keyword",68233,1.5106006382632509
"tiempo","Keyword",67884,1.5028741771263543
"Madrid","Keyword",63775,1.41190561319653
"protección","Keyword",61099,1.3526620315279463
"alguien","Keyword",60523,1.339910049823498
"quiero","Keyword",60006,1.3284642606894703
"claro","Keyword",58109,1.2864668487218685
"vía","Keyword",56767,1.2567565024590734
"salir","Keyword",56410,1.2488529304651708
"país","Keyword",55954,1.2387576116158154
"persona","Keyword",54663,1.2101763470664355
"pasa","Keyword",53587,1.1863549367990975
"peor","Keyword",51212,1.1337751511253733
"cosa","Keyword",50593,1.1200711985645164
"puto","Keyword",49061,1.0861544694478236
"falta","Keyword",48295,1.0691961048894774
"crisis","Keyword",47934,1.0612039774670712
"digo","Keyword",46195,1.0227045049253423
"veo","Keyword",45576,1.0090005523644852
"situación","Keyword",45494,1.0071851660801716
"xD","Keyword",44909,0.9942339346615909
"medidas","Keyword",44823,0.992329992948774
"cara","Keyword",44474,0.9846035318118772
"trabajo","Keyword",43597,0.9651877541125694
"sanidad","Keyword",42435,0.9394624021324148
"caso","Keyword",42237,0.9350789084215105
"final","Keyword",42190,0.934038382136599
"mujeres","Keyword",41669,0.9225040375740684
"mañana","Keyword",39415,0.8726030536125634
"favor","Keyword",39307,0.8702120570429792
"mujer","Keyword",38744,0.8577478804811659
"visto","Keyword",38735,0.8575486307670339
"salud","Keyword",37935,0.839837545066411
"Mira","Keyword",37767,0.8361182170692802
"calle","Keyword",37526,0.8307827525019675
"vergüenza","Keyword",37255,0.8247831222208816
"hijo","Keyword",37160,0.8226799307939326
"semana","Keyword",36898,0.8168795502269786
"partido","Keyword",36399,0.8058322605212151
"año","Keyword",36080,0.7987699650980917
"pa","Keyword",36007,0.79715382852791
"seguir","Keyword",35392,0.783538431395556
"rolling on the floor laughing","Emoji",35121,0.77753880111447
"espero","Keyword",35095,0.7769631908291998
