"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423392]"
"Start Date","Mon Dec 31 23:00:00 UTC 2018"
"End Date","Tue Dec 31 22:59:59 UTC 2019"

"Topic Name","Type","Mentions","Percentage Volume"
"vergüenza","Keyword",955653,7.889419196428461
"gente","Keyword",436021,3.599583161927953
"vida","Keyword",303237,2.5033812574934386
"verdad","Keyword",284907,2.352057446580342
"Presión","Keyword",284627,2.349745899005019
"tiempo","Keyword",276794,2.2850803555853636
"España","Keyword",269996,2.228959282667348
"mal","Keyword",217152,1.7927042109874958
"mundo","Keyword",203514,1.6801153330151652
"gracias","Keyword",198373,1.6376736684268276
"personas","Keyword",196713,1.6239694935159852
"vía","Keyword",194685,1.6072272846490043
"face with tears of joy","Emoji",190439,1.572174316774645
"partido","Keyword",186532,1.5399199725718369
"PSOE","Keyword",173843,1.43516558977444
"alguien","Keyword",168717,1.3928477580919232
"Madrid","Keyword",168415,1.3903545889213964
"merece","Keyword",161861,1.3362478646047333
"claro","Keyword",155037,1.2799121479832944
"casa","Keyword",153962,1.2710374563994657
"estrés","Keyword",149362,1.233062031947734
"falta","Keyword",145443,1.2007086214202694
"final","Keyword",145339,1.199850046606578
"año","Keyword",144771,1.1951609072394946
"emoción","Keyword",144103,1.1896462151669387
"días","Keyword",143687,1.1862119159121733
"estado","Keyword",142499,1.176404349771161
"persona","Keyword",141552,1.168586365650337
"país","Keyword",140326,1.158465089481245
"Lluvia","Keyword",139534,1.1519267120539034
"vale","Keyword",136605,1.1277462733106158
"veo","Keyword",135531,1.1188798372538418
"depresión","Keyword",134351,1.109138315329267
"Viento","Keyword",132987,1.0978777764266232
"pasa","Keyword",131246,1.083504903824348
"actual","Keyword",130400,1.0765207279360514
"quiero","Keyword",129036,1.0652601890334072
"historia","Keyword",128683,1.0623459879830897
"VOX","Keyword",128429,1.0602490841111898
"cosa","Keyword",126854,1.0472466289999989
"Madre","Keyword",125700,1.0377197507788471
"merece la pena","Phrase",125631,1.0371501194120711
"trabajo","Keyword",124911,1.0312061399326695
"cara","Keyword",124045,1.0240568535032784
"puta","Keyword",122969,1.015173906392395
"mierda","Keyword",122878,1.014422653430415
"gobierno","Keyword",122391,1.0104022117547642
"Temperatura","Keyword",120663,0.9961366610042006
"mañana","Keyword",119471,0.9862960727549693
"visto","Keyword",119130,0.9834809380293084
"Humedad","Keyword",118607,0.9791632973796874
"equipo","Keyword",118192,0.9757372536519768
"favor","Keyword",110906,0.9155874835312555
"xd","Keyword",108736,0.8976729898225037
"mm","Keyword",105961,0.8747639022456437
"caso","Keyword",105556,0.8714204137884805
"peor","Keyword",103607,0.8553303915588226
"#weathercloud","Hashtag",101731,0.8398430228041598
"digo","Keyword",100562,0.8301923116771871
"gusta","Keyword",99703,0.8231008139371789
