"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423392]"
"Start Date","Tue Jan 14 23:00:00 UTC 2020"
"End Date","Fri Feb 14 22:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"vergüenza","Keyword",89992,7.610027525379584
"gente","Keyword",40916,3.4599951798874464
"Presión","Keyword",38396,3.2468954669801144
"Tiempo","Keyword",36783,3.110494738043795
"vida","Keyword",28482,2.40853413612167
"verdad","Keyword",28070,2.3736940243288838
"Lluvia","Keyword",24566,2.077383947333928
"Viento","Keyword",24120,2.039668680684456
"actual","Keyword",23065,1.9504543167490456
"Temperatura","Keyword",22484,1.9013229940509664
"Humedad","Keyword",22145,1.8726560088622421
"mal","Keyword",21709,1.8357863759941484
"España","Keyword",21596,1.8262307142645735
"mm","Keyword",20037,1.6943964077476967
"#weathercloud","Hashtag",19994,1.6907601824877698
"hPa","Keyword",19471,1.646533535721685
"personas","Keyword",18498,1.5642533687935765
"face with tears of joy","Emoji",18425,1.558080242189515
"Gracias","Keyword",18225,1.541167566561949
"partido","Keyword",18030,1.5246777078250722
"mundo","Keyword",17614,1.489499342519735
"vía","Keyword",17200,1.4544901039706732
"alguien","Keyword",16963,1.4344485833520078
"km","Keyword",16934,1.4319962453860107
"gobierno","Keyword",16306,1.3788904439154535
"depresión","Keyword",15880,1.342866444828738
"persona","Keyword",15432,1.3049820514229902
"merece","Keyword",15248,1.2894223898456296
"claro","Keyword",15161,1.2820653759476384
"falta","Keyword",14918,1.2615164750601457
"estrés","Keyword",14808,1.2522145034649843
"Madrid","Keyword",14314,1.2104401946648964
"final","Keyword",13873,1.1731477449061134
"casa","Keyword",13854,1.1715410407214948
"días","Keyword",13505,1.142028421751392
"veo","Keyword",13499,1.1415210414825652
"Racha","Keyword",13341,1.128160027736788
"pasa","Keyword",13230,1.118773492763489
"estado","Keyword",13119,1.1093869577901898
"equipo","Keyword",13042,1.1028755776735768
"cosa","Keyword",12926,1.0930662258095887
"emoción","Keyword",12916,1.0922205920282102
"quiero","Keyword",12757,1.0787750149042954
"puta","Keyword",12753,1.078436761391744
"vale","Keyword",12704,1.0742931558629905
"madre","Keyword",12493,1.0564502830759084
"mierda","Keyword",12396,1.0482476353965386
"año","Keyword",12254,1.0362396357009669
"trabajo","Keyword",11932,1.0090102279405857
"Merece la pena","Phrase",11556,0.9772143977607617
"visto","Keyword",11524,0.9745083696603513
"cara","Keyword",11160,0.9437273000181811
"mañana","Keyword",10830,0.9158213852326973
"historia","Keyword",10691,0.9040670756715389
"xd","Keyword",10597,0.8961181181265829
"caso","Keyword",10493,0.8873235268002486
"favor","Keyword",10395,0.8790363157427412
"país","Keyword",10378,0.8775987383143983
"digo","Keyword",10376,0.8774296115581226
"Radiación","Keyword",10149,0.8582337247208351
