"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423392]"
"Start Date","Thu Feb 27 23:00:00 UTC 2020"
"End Date","Thu Apr 02 21:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"vergüenza","Keyword",146618,8.078700910422834
"estado","Keyword",134575,7.415127576560537
"gente","Keyword",96868,5.337459246414759
"coronavirus","Keyword",86038,4.7407226188528
"Gobierno","Keyword",77869,4.290607982605926
"casa","Keyword",52565,2.8963491069062206
"tiempo","Keyword",52327,2.883235227186946
"días","Keyword",49598,2.732866413094925
"personas","Keyword",47463,2.6152271979661363
"España","Keyword",47350,2.609000860116229
"verdad","Keyword",43824,2.414717079065124
"presión","Keyword",43293,2.3854588012040523
"vida","Keyword",39326,2.1668757724378205
"vía","Keyword",35781,1.971545085022572
"Gracias","Keyword",35644,1.9639963391337456
"situación","Keyword",34656,1.9095572081982686
"mal","Keyword",32861,1.8106521069541581
"medidas","Keyword",32062,1.7666269393251641
"virus","Keyword",30665,1.689651771393118
"Madrid","Keyword",30467,1.678741905072041
"mundo","Keyword",29482,1.6244680751414289
"crisis","Keyword",28814,1.5876610513915312
"actual","Keyword",28150,1.5510744289814538
"país","Keyword",27805,1.5320648134220007
"Lluvia","Keyword",27417,1.5106858834594856
"salir","Keyword",26565,1.4637403980778798
"#coronavirus","Hashtag",25503,1.4052238423557377
"Temperatura","Keyword",25350,1.3967934911076325
"cuarentena","Keyword",25153,1.38593872512151
"Humedad","Keyword",24717,1.3619149790811578
"pánico","Keyword",24553,1.3528785241485481
"claro","Keyword",23575,1.2989903965626206
"alguien","Keyword",23484,1.2939762660817216
"face with tears of joy","Emoji",22892,1.2613568677883993
"falta","Keyword",22833,1.258105948026058
"salud","Keyword",22764,1.2543040249141675
"#weathercloud","Hashtag",22104,1.2179378038439095
"merece","Keyword",21039,1.1592559471169024
"trabajo","Keyword",20952,1.154462217975823
"puta","Keyword",20820,1.1471889737617713
"pasa","Keyword",20398,1.1239366324107884
"cosa","Keyword",20276,1.1172143915462862
"semana","Keyword",20205,1.1133022677644857
"madre","Keyword",20119,1.1085636389583613
"persona","Keyword",19916,1.097378270962509
"mierda","Keyword",19736,1.0874602106706206
"mañana","Keyword",19661,1.0833276855490004
"quiero","Keyword",19632,1.0817297758353073
"veo","Keyword",19579,1.0788094580826957
"peor","Keyword",19336,1.0654200766886461
"caso","Keyword",19276,1.06211405659135
"información","Keyword",19187,1.0572101267803609
"Sánchez","Keyword",18712,1.031037467676766
"favor","Keyword",18204,1.0030464975196585
"vale","Keyword",17898,0.9861857950234479
"sanidad","Keyword",17789,0.9801798585133599
"cara","Keyword",17447,0.9613355439587717
"estrés","Keyword",17447,0.9613355439587717
"calle","Keyword",17317,0.9541725004146301
"final","Keyword",16686,0.9194041890580653
