"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000513690]"
"Start Date","Mon Dec 31 23:00:00 UTC 2018"
"End Date","Tue Dec 31 22:59:59 UTC 2019"

"Topic Name","Type","Mentions","Percentage Volume"
"días","Keyword",2713301,2.4675730212819067
"gente","Keyword",2515510,2.2876948081929904
"vida","Keyword",2458042,2.23543135257674
"face with tears of joy","Emoji",2192871,1.9942753563837834
"mundo","Keyword",1920061,1.7461721802393317
"España","Keyword",1918760,1.7449890042847704
"face throwing a kiss","Emoji",1725709,1.569421516810475
"año","Keyword",1637160,1.488891887601813
"tiempo","Keyword",1521146,1.3833846045945095
"vía","Keyword",1435138,1.3051658517121665
"smiling face with heart-shaped eyes","Emoji",1423522,1.2946018456489945
"Madrid","Keyword",1376384,1.2517328616781094
"personas","Keyword",1344974,1.223167483712869
"mal","Keyword",1323715,1.2038337883877164
"semana","Keyword",1304250,1.1861316208584771
"casa","Keyword",1273707,1.1583547237176832
"mañana","Keyword",1269984,1.1549688942950602
"trabajo","Keyword",1195203,1.0869603769560394
"alguien","Keyword",1191017,1.0831534787655748
"unrecognised_emoji","Emoji",1148081,1.0441059439576932
"partido","Keyword",1097564,0.9981639764737694
"equipo","Keyword",1090732,0.9919507111996998
"final","Keyword",1085260,0.9869742785914287
"historia","Keyword",1048408,0.9534597510914276
"puedes","Keyword",1017207,0.9250844452049753
"claro","Keyword",1011078,0.9195105132868295
"persona","Keyword",998116,0.9077224066588306
"xd","Keyword",950320,0.8642550139422871
"smiling face with smiling eyes","Emoji",907174,0.8250164976198339
"winking face","Emoji",901493,0.8198499929327745
"PSOE","Keyword",884794,0.8046633247811812
"Espero","Keyword",863834,0.7856015507553474
"forma","Keyword",845729,0.7691362158919065
"pasa","Keyword",840721,0.7645817614872606
"cosa","Keyword",839420,0.7633985855326991
"veo","Keyword",819342,0.7451389338680671
"rolling on the floor laughing","Emoji",814827,0.7410328313047732
"falta","Keyword",809520,0.7362064556008084
"estado","Keyword",808099,0.734914147352206
"madre","Keyword",805663,0.732698761783173
"mierda","Keyword",782266,0.7114206927525225
"noche","Keyword",781638,0.7108495670803744
"white right pointing backhand index","Emoji",758644,0.6899380006705452
"digo","Keyword",756820,0.6882791898011215
"país","Keyword",722659,0.6572119539949904
"seguir","Keyword",720237,0.655009300526929
"fácil","Keyword",718384,0.6533241160197786
"vídeo","Keyword",701086,0.6375926958337638
"suerte","Keyword",671949,0.6110944654048173
"cara","Keyword",658165,0.5985588025626373
"tarde","Keyword",658165,0.5985588025626373
"mira","Keyword",650689,0.591759860643881
"foto","Keyword",647759,0.5890952137977123
"animo","Keyword",645935,0.5874364029282887
"amigos","Keyword",640090,0.5821207507727066
"Gobierno","Keyword",630821,0.5736911904938204
"super","Keyword",628937,0.5719778134773763
"pena","Keyword",626291,0.5695714463937716
"clapping hands sign","Emoji",614226,0.5585991036637293
"Vox","Keyword",612641,0.557157647946604
