"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000513690]"
"Start Date","Tue Jan 14 23:00:00 UTC 2020"
"End Date","Fri Feb 14 22:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"días","Keyword",261208,2.476428197348217
"vida","Keyword",236047,2.237884929632533
"gente","Keyword",231592,2.1956485217920907
"face with tears of joy","Emoji",210258,1.993387797915996
"face throwing a kiss","Emoji",176172,1.6702295043920174
"mundo","Keyword",170102,1.6126818061672172
"España","Keyword",150981,1.4314018164215154
"tiempo","Keyword",147408,1.397527364072716
"smiling face with heart-shaped eyes","Emoji",136180,1.291078343369576
"mal","Keyword",135493,1.2845651195342485
"año","Keyword",129647,1.229141092545421
"personas","Keyword",126448,1.1988124127066835
"semana","Keyword",122038,1.1570026352484675
"alguien","Keyword",119332,1.1313479282639027
"vía","Keyword",119018,1.1283709962634763
"mañana","Keyword",115699,1.0969046354054677
"unrecognised_emoji","Emoji",115594,1.0959091645136052
"casa","Keyword",113830,1.079185253530319
"trabajo","Keyword",112709,1.068557416675294
"Madrid","Keyword",112604,1.0675619457834318
"persona","Keyword",110795,1.050411404417919
"final","Keyword",101765,0.9648009077177626
"equipo","Keyword",101750,0.9646586975903537
"historia","Keyword",96772,0.917463896640921
"claro","Keyword",96533,0.9151980152775392
"puedes","Keyword",95292,0.903432497403243
"rolling on the floor laughing","Emoji",93677,0.8881212070188851
"xD","Keyword",91225,0.8648745915251107
"visto","Keyword",89536,0.8488617311788689
"cosa","Keyword",85275,0.8084645743195814
"winking face","Emoji",82749,0.784516388863923
"veo","Keyword",82330,0.7805439859716345
"pasa","Keyword",81956,0.7769982134615727
"smiling face with smiling eyes","Emoji",81403,0.7717554000977648
"forma","Keyword",80685,0.7649482753324588
"falta","Keyword",80192,0.7602743024782864
"madre","Keyword",79863,0.7571551603504513
"mierda","Keyword",79415,0.7529078178785055
"digo","Keyword",78891,0.7479399440943547
"espero","Keyword",78861,0.7476555238395369
"estado","Keyword",77262,0.7324959242577485
"dios","Keyword",76529,0.7255465893650337
"noches","Keyword",73883,0.7004607228901042
"white right pointing backhand index","Emoji",73091,0.6929520281629145
"noche","Keyword",70489,0.668283311395051
"gobierno","Keyword",68740,0.6517016105391735
"fácil","Keyword",67798,0.6427708145378949
"caso","Keyword",67514,0.6400783027922864
"seguir","Keyword",67305,0.6380968416837224
"febrero","Keyword",65690,0.6227855512993644
"queda","Keyword",63239,0.5995484164807506
"paso","Keyword",62745,0.5948649629514177
"cara","Keyword",62685,0.594296122441782
"Mira","Keyword",62282,0.590475410352063
"suerte","Keyword",61759,0.5855170172430727
"clapping hands sign","Emoji",60563,0.5741781297510034
"hablar","Keyword",60488,0.5734670791139589
"San","Keyword",60323,0.571902767712461
"pena","Keyword",60234,0.5710589876231682
"tarde","Keyword",58918,0.5585824191118276
