"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000513690]"
"Start Date","Thu Feb 27 23:00:00 UTC 2020"
"End Date","Thu Apr 02 21:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"días","Keyword",492726,3.3718332991172244
"gente","Keyword",434436,2.9729419010470126
"casa","Keyword",374336,2.5616642715390405
"coronavirus","Keyword",362122,2.478081160610415
"vida","Keyword",304908,2.0865530691849723
"face with tears of joy","Emoji",276592,1.8927804010127967
"face throwing a kiss","Emoji",264527,1.8102169301307056
"España","Keyword",246961,1.6900088961883255
"mundo","Keyword",240323,1.6445835899541503
"ánimo","Keyword",234806,1.6068295353452406
"cuarentena","Keyword",229873,1.5730719222610003
"personas","Keyword",227496,1.5568055840689796
"tiempo","Keyword",222338,1.5215082460822555
"gobierno","Keyword",217285,1.4869294463833571
"mal","Keyword",190464,1.303387394785465
"semana","Keyword",180418,1.2346403886949975
"Madrid","Keyword",170775,1.168651200985424
"unrecognised_emoji","Emoji",168547,1.1534045028399371
"mañana","Keyword",162762,1.1138164647916238
"vía","Keyword",159846,1.09386163005543
"trabajo","Keyword",159562,1.0919181550674057
"smiling face with heart-shaped eyes","Emoji",158321,1.0834257168274823
"estado","Keyword",157828,1.080052008485595
"alguien","Keyword",157200,1.075754465202217
"#yomequedoencasa","Hashtag",139993,0.9580031478820229
"Claro","Keyword",136150,0.9317046465475947
"persona","Keyword",131501,0.899890508451379
"situación","Keyword",122546,0.8386094573325122
"año","Keyword",122187,0.8361527407103265
"puedes","Keyword",121993,0.8348251556832957
"rolling on the floor laughing","Emoji",120049,0.8215219325258332
"madre","Keyword",119122,0.8151782659275988
"cosa","Keyword",119077,0.8148703209471019
"pasa","Keyword",117597,0.804742352699651
"final","Keyword",117567,0.8045370560459864
"crisis","Keyword",116132,0.7947170327790324
"visto","Keyword",115489,0.7903168411688222
"Dios","Keyword",114398,0.7828508861972218
"mierda","Keyword",113845,0.7790665845480051
"#coronavirus","Hashtag",113471,0.7765072195989873
"digo","Keyword",113008,0.7733388079107644
"XD","Keyword",112454,0.7695476630397592
"medidas","Keyword",112290,0.7684253746663929
"país","Keyword",112155,0.7675015397249024
"salud","Keyword",111229,0.7611647163484568
"veo","Keyword",110825,0.7584000547457743
"abrazo","Keyword",109689,0.7506261547936769
"smiling face with smiling eyes","Emoji",107880,0.7382467665777047
"historia","Keyword",107057,0.7326147950455074
"clapping hands sign","Emoji",106579,0.7293437350304524
"forma","Keyword",105787,0.7239239033737083
"caso","Keyword",104949,0.7181892835146787
"winking face","Emoji",104232,0.713282693492096
"noches","Keyword",94933,0.6496475740778759
"fácil","Keyword",94903,0.6494422774242112
"queda","Keyword",94081,0.6438171491138028
"flexed biceps","Emoji",92930,0.635940600834873
"familia","Keyword",92242,0.6312324642441661
"equipo","Keyword",91749,0.6278587559022788
"tarde","Keyword",90448,0.6189557243550263
