"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000443034]"
"Start Date","Mon Dec 31 23:00:00 UTC 2018"
"End Date","Tue Dec 31 22:59:59 UTC 2019"

"Topic Name","Type","Mentions","Percentage Volume"
"vida","Keyword",487513,3.2586700034557694
"gente","Keyword",423573,2.8312775851593095
"tiempo","Keyword",365365,2.4421994199387855
"daño","Keyword",324660,2.170116085769918
"verdad","Keyword",316760,2.1173103287392325
"personas","Keyword",292874,1.9576497828613901
"España","Keyword",283993,1.8982867539766413
"mundo","Keyword",281139,1.8792098387151759
"partido","Keyword",256488,1.7144358239603115
"Gracias","Keyword",254494,1.701107383514845
"mal","Keyword",253941,1.697410980522697
"año","Keyword",248454,1.6607343743420169
"vía","Keyword",245433,1.6405411854825611
"face with tears of joy","Emoji",244560,1.6347058151170182
"quiero","Keyword",233989,1.5640463647915275
"final","Keyword",232996,1.5574088816609617
"Madrid","Keyword",230164,1.5384790204064172
"días","Keyword",208682,1.394887466921204
"historia","Keyword",199705,1.3348827478244363
"casa","Keyword",190262,1.2717631574901624
"alguien","Keyword",187463,1.2530538772459994
"puedes","Keyword",177545,1.1867592572168426
"merece","Keyword",173881,1.1622680807914714
"equipo","Keyword",172384,1.1522617240478086
"persona","Keyword",171499,1.1463461424057635
"mañana","Keyword",168944,1.129267824783814
"VÍDEO","Keyword",163677,1.094061758672343
"claro","Keyword",158806,1.0615026646854482
"extraño","Keyword",158590,1.0600588617084066
"extraña","Keyword",155469,1.039197245544765
"madre","Keyword",146880,0.9817860243882386
"mierda","Keyword",145099,0.969881334100688
"forma","Keyword",144960,0.9689522201478695
"falta","Keyword",144284,0.9644336515715729
"vale","Keyword",144008,0.9625887922120198
"pasa","Keyword",143137,0.9567667903925606
"vas","Keyword",140866,0.941586806314499
"estado","Keyword",140418,0.9385922519917463
"país","Keyword",139919,0.9352567997438586
"semana","Keyword",137711,0.9204979248674342
"trabajo","Keyword",134478,0.8988876701231042
"inútil","Keyword",132864,0.8880992534335439
"veo","Keyword",131845,0.8812879792038897
"lástima","Keyword",127685,0.8534814033497565
"ganas","Keyword",125969,0.8420111908099267
"merece la pena","Phrase",125137,0.8364498756391
"caso","Keyword",124972,0.8353469705871932
"xd","Keyword",124896,0.8348389658360121
"peor","Keyword",121159,0.8098598374785851
"noche","Keyword",118444,0.7917120361699383
"puta","Keyword",115795,0.7740053968820539
"horas","Keyword",115117,0.7694734597596736
"mujer","Keyword",113961,0.7617464401232847
"paso","Keyword",112234,0.7502027005799944
"seguir","Keyword",110926,0.7414596714412429
"espero","Keyword",110720,0.7400827111946199
"gusta","Keyword",108964,0.7283451277331157
"queda","Keyword",108536,0.7254842588712002
"loudly crying face","Emoji",107619,0.7193547804918154
"Dios","Keyword",105995,0.7084995210718366
