"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000443034]"
"Start Date","Tue Jan 14 23:00:00 UTC 2020"
"End Date","Fri Feb 14 22:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"vida","Keyword",49711,3.4164015589638703
"gente","Keyword",38812,2.6673649153407846
"tiempo","Keyword",35207,2.4196103415027053
"daño","Keyword",32768,2.251989424556499
"verdad","Keyword",31775,2.183745238198326
"personas","Keyword",27355,1.8799795748517767
"mal","Keyword",26572,1.8261676937657252
"partido","Keyword",26338,1.8100859821767905
"mundo","Keyword",24668,1.695314792631827
"año","Keyword",24580,1.6892669694701763
"quiero","Keyword",23737,1.63133157259209
"Gracias","Keyword",23179,1.5929828757261684
"España","Keyword",23163,1.591883271514959
"face with tears of joy","Emoji",23061,1.5848732946685002
"final","Keyword",21899,1.50501453882943
"vía","Keyword",21701,1.491406936715716
"alguien","Keyword",20646,1.4189017840391074
"días","Keyword",20212,1.3890750198100572
"Madrid","Keyword",19551,1.3436476208344759
"equipo","Keyword",18402,1.2646822934170132
"persona","Keyword",18054,1.2407659018232127
"casa","Keyword",17673,1.2145815765437928
"merece","Keyword",16772,1.152660114400073
"mañana","Keyword",15525,1.066959711188954
"claro","Keyword",15451,1.061874041712111
"madre","Keyword",15199,1.0445552753855658
"extraña","Keyword",14768,1.0149346869461173
"mierda","Keyword",14512,0.9973410195667698
"falta","Keyword",14438,0.992255350089927
"pasa","Keyword",14188,0.9750740342897829
"trabajo","Keyword",13875,0.9535630269080023
"forma","Keyword",13839,0.9510889174327816
"semana","Keyword",13737,0.9440789405863227
"vídeo","Keyword",13631,0.9367940626870617
"visto","Keyword",13621,0.9361068100550558
"extraño","Keyword",13307,0.9145270774100748
"veo","Keyword",13259,0.911228264776447
"cosa","Keyword",12962,0.8908168616058757
"vas","Keyword",12412,0.8530179668455585
"favor","Keyword",12256,0.8422968257862685
"gobierno","Keyword",12186,0.8374860573622281
"lástima","Keyword",11919,0.8191364120876742
"caso","Keyword",11881,0.8165248520860523
"puta","Keyword",11869,0.8157001489276453
"ganas","Keyword",11841,0.8137758415580293
"inútil","Keyword",11817,0.8121264352412153
"loudly crying face","Emoji",11581,0.7959072731258793
"merece la pena","Phrase",11563,0.7946702183882689
"peor","Keyword",11489,0.7895845489114262
"siento","Keyword",11297,0.7763892983769154
"amor","Keyword",11121,0.764293652053614
"seguir","Keyword",11017,0.757146224680754
"horas","Keyword",10970,0.7539161373103269
"millones","Keyword",10908,0.749655170991891
"Real","Keyword",10822,0.7437447983566414
"país","Keyword",10726,0.7371471730893862
"miedo","Keyword",10586,0.7275256362413054
"gusta","Keyword",10472,0.7196909562364396
"digo","Keyword",10404,0.7150176383388004
"cara","Keyword",10402,0.7148801878123993
