"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000443034]"
"Start Date","Thu Feb 27 23:00:00 UTC 2020"
"End Date","Thu Apr 02 21:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"coronavirus","Keyword",100436,4.7319491846438275
"gente","Keyword",81319,3.831269422777205
"España","Keyword",66096,3.1140518669423156
"Gobierno","Keyword",61021,2.8749479389476975
"vida","Keyword",59255,2.791744483413019
"días","Keyword",55969,2.636927634666159
"tiempo","Keyword",54336,2.559990351037546
"casa","Keyword",52276,2.462935357605248
"personas","Keyword",50734,2.3902854547544696
"verdad","Keyword",44474,2.09535134849904
"gracias","Keyword",41275,1.9446334242320877
"daño","Keyword",39305,1.8518186975031425
"mundo","Keyword",39285,1.8508764160135087
"Madrid","Keyword",38400,1.8091804600972057
"vía","Keyword",36552,1.7221136504550278
"mal","Keyword",35849,1.688992456094394
"quiero","Keyword",34554,1.6279797296405951
"cuarentena","Keyword",31049,1.4628448985822433
"país","Keyword",29059,1.369087890363664
"face with tears of joy","Emoji",28874,1.36037178658455
"crisis","Keyword",28538,1.3445414575586994
"virus","Keyword",28198,1.3285226722349222
"estado","Keyword",27915,1.3151893891566016
"situación","Keyword",27495,1.2954014778742884
"final","Keyword",27263,1.2844710125945342
"inútil","Keyword",26104,1.2298658002702463
"alguien","Keyword",25857,1.218228623873267
"#coronavirus","Hashtag",25491,1.2009848726129655
"semana","Keyword",25287,1.1913736014186989
"año","Keyword",24768,1.166921396762698
"salir","Keyword",23593,1.1115623592467025
"mierda","Keyword",23357,1.1004434376690218
"persona","Keyword",22936,1.0806084123122268
"claro","Keyword",22868,1.0774046552474714
"medidas","Keyword",22860,1.0770277426516177
"merece","Keyword",22504,1.0602551321361333
"mañana","Keyword",22386,1.054695671347293
"trabajo","Keyword",22294,1.0503611764949765
"peor","Keyword",22046,1.0386768860235156
"historia","Keyword",21521,1.0139419969206243
"falta","Keyword",21377,1.0071575701952595
"casos","Keyword",21165,0.9971693864051396
"partido","Keyword",21047,0.9916099256162991
"pasa","Keyword",20700,0.97526134177115
"caso","Keyword",19671,0.9267809591294828
"puta","Keyword",19537,0.9204676731489352
"puedes","Keyword",19491,0.918300425722777
"Espero","Keyword",19437,0.9157562657007653
"Italia","Keyword",19311,0.9098198923160713
"cosa","Keyword",18936,0.8921521143854345
"extraña","Keyword",18760,0.8838600372766557
"veo","Keyword",18634,0.8779236638919617
"vale","Keyword",18566,0.8747199068272062
"favor","Keyword",18326,0.8634125289515987
"forma","Keyword",18054,0.850597500692577
"miedo","Keyword",17871,0.8419756250624262
"visto","Keyword",17827,0.8399026057852313
"pandemia","Keyword",17813,0.8392430087424877
"loudly crying face","Emoji",17525,0.8256741552917587
"dinero","Keyword",17491,0.8240722767593809
