"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423391]"
"Start Date","Mon Dec 31 23:00:00 UTC 2018"
"End Date","Tue Dec 31 22:59:59 UTC 2019"

"Topic Name","Type","Mentions","Percentage Volume"
"servicio","Keyword",11680956,4.037887020276837
"notificación","Keyword",11161984,3.858488150639188
"gracias","Keyword",8056219,2.7848835431455816
"face with tears of joy","Emoji",5861535,2.026222519406664
"vida","Keyword",5009495,1.7316883000536698
"vía","Keyword",4841789,1.6737154868162476
"gente","Keyword",4632365,1.6013215448020444
"España","Keyword",4297151,1.4854443632070553
"días","Keyword",3881838,1.341878462260914
"mundo","Keyword",3816559,1.3193127384625662
"verdad","Keyword",3772775,1.3041774323030533
"C-4a","Keyword",3755254,1.2981207517982838
"C-4b","Keyword",3686121,1.2742227726112378
"quiero","Keyword",3599109,1.2441443590457448
"Madrid","Keyword",3351622,1.1585927530823927
"año","Keyword",3234971,1.1182686940925024
"tiempo","Keyword",3116889,1.0774499652891125
"mal","Keyword",3043267,1.0520002231441357
"mañana","Keyword",2918908,1.0090116533768487
"casa","Keyword",2828797,0.9778619737372571
"VÍDEO","Keyword",2806110,0.9700195040944453
"xd","Keyword",2704596,0.93492802160137
"personas","Keyword",2628987,0.9087914108893604
"smiling face with heart-shaped eyes","Emoji",2558107,0.8842895266260158
"alguien","Keyword",2483133,0.8583724234832393
"final","Keyword",2422702,0.8374825621977118
"semana","Keyword",2422503,0.8374137716366451
"historia","Keyword",2303269,0.7961968180777336
"face throwing a kiss","Emoji",2230561,0.7710630285599673
"Feliz","Keyword",2173348,0.7512855694126939
"C-7","Keyword",2168937,0.7497607695892513
"claro","Keyword",2154793,0.7448714545353469
"rolling on the floor laughing","Emoji",2124955,0.7345570185498829
"madre","Keyword",2122809,0.7338151866702394
"puedes","Keyword",2074178,0.7170043636791175
"pasa","Keyword",2069728,0.7154660822884306
"mierda","Keyword",2024633,0.6998775880607849
"gusta","Keyword",2023918,0.6996304259946409
"visto","Keyword",1986372,0.6866514792317805
"C-3","Keyword",1949104,0.6737686318456867
"equipo","Keyword",1880368,0.6500078880995628
"C-5","Keyword",1828121,0.6319470818480535
"unrecognised_emoji","Emoji",1814295,0.6271676934193712
"falta","Keyword",1784695,0.6169355295622182
"persona","Keyword",1756962,0.6073487525267308
"cosa","Keyword",1716198,0.5932574036256165
"puta","Keyword",1712940,0.5921311742389069
"white right pointing backhand index","Emoji",1650244,0.5704583450095805
"winking face","Emoji",1633716,0.5647449259477215
"noche","Keyword",1633239,0.5645800360098884
"estado","Keyword",1630299,0.5635637332484009
"ganas","Keyword",1628074,0.5627945925530574
"large blue circle","Emoji",1610592,0.5567513936155322
"foto","Keyword",1606221,0.5552404210405452
"horas","Keyword",1606062,0.555185457727934
"cara","Keyword",1549644,0.5356828151437159
"Espero","Keyword",1543168,0.5334441836187522
"forma","Keyword",1521395,0.5259176666031512
"país","Keyword",1487107,0.5140649492270005
"jajajaja","Keyword",1473677,0.5094224505580286
