"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000513690]"
"Start Date","Tue Jan 14 23:00:00 UTC 2020"
"End Date","Fri Feb 14 22:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"servicio","Keyword",1834301,6.346769980939632
"notificación","Keyword",1787016,6.183161599028086
"Gracias","Keyword",736825,2.5494500581997417
"face with tears of joy","Emoji",572599,1.9812201728702392
"C-7","Keyword",567186,1.9624909316460202
"C-2","Keyword",500756,1.7326399258221012
"vida","Keyword",493432,1.7072985323755503
"C-4a","Keyword",470745,1.6288004175309436
"C-4b","Keyword",447540,1.5485099976883419
"gente","Keyword",428833,1.4837828749132695
"vía","Keyword",408135,1.4121667960551714
"verdad","Keyword",386124,1.33600767383343
"C-10","Keyword",380751,1.317416834539558
"quiero","Keyword",380035,1.3149394399863452
"días","Keyword",373348,1.2918020972805717
"C-1","Keyword",344212,1.190990131215756
"España","Keyword",342023,1.183416085577512
"mundo","Keyword",337645,1.1682679943010237
"mal","Keyword",314997,1.089904821338505
"tiempo","Keyword",306758,1.0613974837352647
"año","Keyword",275155,0.9520495786162928
"C-3","Keyword",271095,0.9380017826860638
"Madrid","Keyword",266120,0.9207880425991454
"C-3a","Keyword",258438,0.8942079518759879
"xd","Keyword",257880,0.8922772449476462
"casa","Keyword",256288,0.8867688481198323
"personas","Keyword",253303,0.8764406040676811
"alguien","Keyword",249920,0.8647352608085767
"smiling face with heart-shaped eyes","Emoji",249880,0.8645968588782296
"VÍDEO","Keyword",244149,0.8447673223077512
"rolling on the floor laughing","Emoji",243114,0.8411861723600204
"semana","Keyword",239213,0.827688524102921
"face throwing a kiss","Emoji",232168,0.803312484120541
"final","Keyword",221541,0.7665425512755797
"historia","Keyword",217322,0.751944607672221
"madre","Keyword",209441,0.7246759673455869
"claro","Keyword",208724,0.7221951127441155
"C-8","Keyword",206057,0.7129671640382238
"mierda","Keyword",205819,0.7121436725526586
"pasa","Keyword",205699,0.7117284667616173
"visto","Keyword",197619,0.6837712768315064
"puedes","Keyword",196664,0.6804669307444698
"persona","Keyword",196027,0.6782628800036925
"feliz","Keyword",190057,0.6576063918993904
"equipo","Keyword",188982,0.6538868400213126
"falta","Keyword",185599,0.6421814967622079
"veo","Keyword",184007,0.636673099934394
"unrecognised_emoji","Emoji",181061,0.6264797977643314
"puta","Keyword",180982,0.6262064539518959
"C-5","Keyword",180823,0.6256563062787662
"favor","Keyword",177638,0.6146360525748797
"cosa","Keyword",175051,0.6056849077296821
"digo","Keyword",167608,0.5799317685403486
"white right pointing backhand index","Emoji",165499,0.5726345267627986
"gobierno","Keyword",162115,0.5609257234554352
"febrero","Keyword",159210,0.5508742832639784
"estado","Keyword",157060,0.5434351795078227
"large red circle","Emoji",156662,0.5420580803008692
"ganas","Keyword",155468,0.5379267826800088
"Jajaja","Keyword",153040,0.5295257855079407
