"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000513690]"
"Start Date","Thu Feb 27 23:00:00 UTC 2020"
"End Date","Fri Apr 03 21:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"Gracias","Keyword",1281245,3.226983302232439
"coronavirus","Keyword",1068778,2.691857341721046
"servicio","Keyword",931818,2.3469056478032124
"gente","Keyword",895239,2.2547766465486823
"casa","Keyword",858541,2.162347928211966
"notificación","Keyword",838202,2.111121493467553
"días","Keyword",828570,2.0868620402270697
"face with tears of joy","Emoji",782837,1.9716774913226869
"España","Keyword",624940,1.5739932213566807
"vida","Keyword",619049,1.5591559664729924
"cuarentena","Keyword",598630,1.50772804125316
"verdad","Keyword",575067,1.4483815403493492
"vía","Keyword",571604,1.4396595213946364
"gobierno","Keyword",559743,1.4097860397827833
"quiero","Keyword",540240,1.3606651805065018
"mundo","Keyword",484158,1.21941531997569
"tiempo","Keyword",473013,1.1913451781188396
"personas","Keyword",461112,1.1613709512692767
"mal","Keyword",458167,1.1539535831429037
"Madrid","Keyword",438982,1.1056336485064142
"Mañana","Keyword",413469,1.0413758172642582
"estado","Keyword",364392,0.9177689664873485
"face throwing a kiss","Emoji",357705,0.9009268813732383
"alguien","Keyword",356710,0.8984208435852107
"xd","Keyword",342620,0.8629333336019873
"rolling on the floor laughing","Emoji",335257,0.8443886539705838
"claro","Keyword",324231,0.8166182291959195
"madre","Keyword",322918,0.8133112667681004
"salir","Keyword",317465,0.7995771722373326
"trabajo","Keyword",311256,0.7839389927138526
"pasa","Keyword",308987,0.7782242191047728
"mierda","Keyword",306957,0.7731113982910082
"smiling face with heart-shaped eyes","Emoji",301703,0.7598785113178459
"favor","Keyword",293026,0.7380243506276806
"C-7","Keyword",291036,0.7330122750516257
"#coronavirus","Hashtag",288648,0.7269977843603597
"virus","Keyword",283712,0.7145658220269892
"puta","Keyword",279175,0.7031387934397724
"unrecognised_emoji","Emoji",278777,0.7021363783245613
"crisis","Keyword",274836,0.6922104537792183
"año","Keyword",274797,0.6921122271724515
"visto","Keyword",271692,0.68429187809524
"espero","Keyword",270936,0.6823877931025277
"final","Keyword",270896,0.682287047864818
"veo","Keyword",267990,0.6749679063452121
"#yomequedoencasa","Hashtag",267950,0.6748671611075026
"C-2","Keyword",267552,0.6738647459922914
"Dios","Keyword",267234,0.6730638213524998
"puedes","Keyword",266398,0.6709582458843681
"digo","Keyword",262498,0.6611355852076775
"medidas","Keyword",257562,0.6487036228743069
"cosa","Keyword",257084,0.6474997172836767
"país","Keyword",245860,0.6192306035823495
"vídeo","Keyword",245303,0.6178277261472427
"Ánimo","Keyword",240566,0.6058969713714777
"caso","Keyword",238934,0.601786565672924
"pa","Keyword",234477,0.5905610275611265
"hora","Keyword",230655,0.5809348200979697
"historia","Keyword",230337,0.5801338954581781
"situación","Keyword",230337,0.5801338954581781
