"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423394]"
"Start Date","Mon Dec 31 23:00:00 UTC 2018"
"End Date","Tue Dec 31 22:59:59 UTC 2019"

"Topic Name","Type","Mentions","Percentage Volume"
"people","Keyword",4524261,6.859045112266267
"face with tears of joy","Emoji",2577825,3.908133939781058
"time","Keyword",2467109,3.7402819881253797
"good","Keyword",2178811,3.3032053058172326
"man","Keyword",1634848,2.478525483763709
"love","Keyword",1615000,2.4484347512908786
"day","Keyword",1486578,2.2537394648325026
"Brexit","Person",1435862,2.1768510333486213
"years","Keyword",1234595,1.8717184531083355
"today","Keyword",1217277,1.8454633490694161
"work","Keyword",1132912,1.7175610594145212
"stop","Keyword",1092029,1.655580032828128
"life","Keyword",1076130,1.631476216041271
"thing","Keyword",1071467,1.624406834465253
"world","Keyword",1061075,1.6086519527714978
"UK","Keyword",1038499,1.5744254122481895
"feel","Keyword",1005901,1.5250049317388519
"game","Keyword",991637,1.5033798708766766
"great","Keyword",989667,1.5003932352977027
"give","Keyword",979205,1.4845322294970802
"made","Keyword",904743,1.3716434688465406
"Labour","Organisation",886220,1.3435615141108372
"hope","Keyword",881618,1.3365846121136604
"party","Keyword",874976,1.3265149504306426
"country","Keyword",842601,1.2774325510046103
"things","Keyword",819304,1.2421129321805708
"next","Keyword",813703,1.2336214875725335
"lot","Keyword",811526,1.230321027848967
"EU","Keyword",793012,1.2022527176412894
"put","Keyword",788246,1.1950271820223095
"vote","Keyword",747827,1.1337496066585784
"end","Keyword",739878,1.1216984562944847
"point","Keyword",735834,1.1155675150349054
"thought","Keyword",734922,1.114184869528294
"leave","Keyword",709250,1.075264611364121
"find","Keyword",704656,1.0682998378363004
"rolling on the floor laughing","Emoji",696018,1.0552041230489009
"week","Keyword",686692,1.0410653598968642
"deal","Keyword",684369,1.0375435556075463
"show","Keyword",666741,1.0108184733810721
"night","Keyword",663557,1.0059913425772888
"left","Keyword",643417,0.9754579209729556
"watch","Keyword",635708,0.9637706246895491
"real","Keyword",628705,0.9531536658268308
"Tory","Keyword",614802,0.9320759021443559
"win","Keyword",602457,0.9133601578690085
"support","Keyword",601003,0.911155808563512
"play","Keyword",600314,0.9101112441402058
"home","Keyword",600297,0.9100854711428238
"god","Keyword",583865,0.8851735950851076
"person","Keyword",581464,0.8815335382195661
"change","Keyword",563656,0.8545355654325767
"Corbyn","Person",559655,0.8484698146957873
"gonna","Keyword",557564,0.8452997360178003
"days","Keyword",544221,0.825070965190262
"government","Keyword",531729,0.8061323602904938
"fact","Keyword",512036,0.7762766169114403
"free","Keyword",507863,0.7699501040834918
"Tories","Organisation",504017,0.7641193424404797
"men","Keyword",495965,0.7519120380334244
