"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423394]"
"Start Date","Tue Jan 14 23:00:00 UTC 2020"
"End Date","Fri Feb 14 22:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"people","Keyword",373969,6.6075530238245
"face with tears of joy","Emoji",230577,4.074000127214774
"time","Keyword",210755,3.7237707872474255
"good","Keyword",193213,3.4138261256740616
"love","Keyword",147555,2.607107772115935
"man","Keyword",146222,2.583555370230329
"day","Keyword",131089,2.3161746517495563
"years","Keyword",112058,1.9799212681899456
"today","Keyword",99007,1.7493268218215743
"work","Keyword",97363,1.7202794484532804
"life","Keyword",92993,1.6430671481981443
"thing","Keyword",92692,1.6377488639013944
"stop","Keyword",88949,1.5716148502046037
"feel","Keyword",88751,1.5681164439230209
"UK","Keyword",88339,1.5608369318623536
"world","Keyword",87943,1.553840119299188
"give","Keyword",84863,1.4994204660301218
"game","Keyword",84493,1.492883040150396
"great","Keyword",84140,1.4866459824867662
"made","Keyword",79013,1.3960584622560832
"rolling on the floor laughing","Emoji",78092,1.379785572431145
"Brexit","Keyword",76578,1.353035132480052
"hope","Keyword",72741,1.2852402592354393
"things","Keyword",72001,1.2721654074759883
"lot","Keyword",71227,1.2584898192843463
"big","Keyword",66607,1.1768603393807469
"bad","Keyword",65772,1.1621069593548798
"next","Keyword",64421,1.1382365205345848
"thought","Keyword",64309,1.1362576240520732
"end","Keyword",63776,1.1268401970415498
"Yeah","Keyword",63707,1.125621055458574
"long","Keyword",63079,1.1145251001816343
"find","Keyword",62253,1.099930738623112
"country","Keyword",60593,1.0706006657573166
"wrong","Keyword",59870,1.0578261822139612
"team","Keyword",59199,1.0459704720374858
"makes","Keyword",56971,1.006604567010382
"absolutely","Keyword",56807,1.0037068971609904
"read","Keyword",56687,1.001586650929728
"left","Keyword",56343,0.9955086117334427
"night","Keyword",56076,0.990791063868884
"money","Keyword",55809,0.9860735160043254
"watch","Keyword",55302,0.977115475677242
"mate","Keyword",54175,0.95720282982197
"women","Keyword",52858,0.933933127433866
"person","Keyword",51551,0.9108401122317006
"God","Keyword",50862,0.898666365120536
"home","Keyword",50570,0.893507099291131
"gonna","Keyword",50441,0.8912278345925241
"making","Keyword",50243,0.8877294283109411
"fans","Keyword",49434,0.8734354349685144
"loudly crying face","Emoji",49133,0.8681171506717646
"start","Keyword",46561,0.8226732064483756
"days","Keyword",45743,0.808220194638604
"Labour","Organisation",45047,0.7959227664972826
"Party","Organisation",44229,0.781469754687511
"leave","Keyword",44126,0.7796498766723442
"fact","Keyword",44057,0.7784307350893683
"guy","Keyword",44040,0.7781303668732729
"place","Keyword",42767,0.7556380881032985
