"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423394]"
"Start Date","Sat Feb 29 23:00:00 UTC 2020"
"End Date","Sat Apr 04 21:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"people","Keyword",624524,8.843676709695272
"time","Keyword",297417,4.211623245811912
"face with tears of joy","Emoji",266574,3.7748657781131025
"good","Keyword",228607,3.237227715145145
"coronavirus","Keyword",193119,2.734693946909392
"day","Keyword",182149,2.5793514244357043
"work","Keyword",161923,2.2929377635831245
"man","Keyword",156477,2.2158187683787762
"love","Keyword",155858,2.2070533151963505
"world","Keyword",141696,2.006509942063045
"virus","Keyword",136922,1.9389069154186163
"home","Keyword",133007,1.8834679021565846
"today","Keyword",129136,1.8286519582645477
"stop","Keyword",125892,1.782714752894936
"thing","Keyword",125066,1.771018041540035
"government","Keyword",120790,1.7104670273105465
"UK","Keyword",116695,1.6524790938985365
"life","Keyword",114364,1.6194705779563154
"years","Keyword",113331,1.6048426084289393
"feel","Keyword",111929,1.5849893525941068
"hope","Keyword",108195,1.5321134201495537
"give","Keyword",106406,1.5067799859922677
"made","Keyword",96950,1.3728767141133993
"things","Keyword",96796,1.3706959713184177
"great","Keyword",95660,1.3546094530385535
"rolling on the floor laughing","Emoji",95540,1.352910172938568
"lot","Keyword",92804,1.3141665866588954
"put","Keyword",89655,1.269574644701772
"stay","Keyword",88967,1.2598321054618544
"week","Keyword",86119,1.219502524422195
"country","Keyword",83564,1.1833220189600009
"next","Keyword",82583,1.1694304041426182
"thought","Keyword",81499,1.154080240572748
"yeah","Keyword",79580,1.1269059196404776
"game","Keyword",79486,1.1255748168954889
"bad","Keyword",79253,1.1222753813680166
"NHS","Keyword",78746,1.1150959229455775
"long","Keyword",76518,1.083545955755844
"big","Keyword",76500,1.0832910637408462
"end","Keyword",75855,1.0741574332034234
"find","Keyword",73102,1.0351731155762527
"gonna","Keyword",72775,1.030542577303792
"days","Keyword",71553,1.0132382416189383
"care","Keyword",70177,0.9937531631391028
"real","Keyword",68947,0.9763355421142499
"hard","Keyword",68525,0.9703597404293005
"making","Keyword",68086,0.9641432073968529
"God","Person",67536,0.9563548402719187
"wrong","Keyword",67338,0.9535510281069425
"loudly crying face","Emoji",66882,0.9470937637269969
"full","Keyword",66374,0.9399001446370578
"left","Keyword",65540,0.9280901479421576
"show","Keyword",64628,0.9151756191822668
"working","Keyword",63828,0.9038470851823626
"start","Keyword",62107,0.8794765764150685
"night","Keyword",61926,0.87691349559759
"support","Keyword",61711,0.8738689520851158
"#coronavirus","Hashtag",61677,0.8733874893901199
"taking","Keyword",60550,0.8574284171177547
"social","Keyword",58846,0.8332986396979587
