"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423391]"
"Start Date","Mon Dec 31 23:00:00 UTC 2018"
"End Date","Tue Dec 31 22:59:59 UTC 2019"

"Topic Name","Type","Mentions","Percentage Volume"
"people","Keyword",1936360,7.100846200429742
"time","Keyword",1243166,4.558827164165465
"good","Keyword",995928,3.652178083983139
"face with tears of joy","Emoji",776799,2.8486078144805838
"today","Keyword",760088,2.7873267299429036
"day","Keyword",740703,2.7162397917726615
"Brexit","Location",737590,2.7048240766050595
"feel","Keyword",667232,2.44681351195291
"work","Keyword",659114,2.417043908441637
"UK","Keyword",591272,2.1682597939538586
"life","Keyword",581872,2.133788954707004
"love","Keyword",568248,2.083828240462414
"years","Keyword",559930,2.0533252148395054
"great","Keyword",555463,2.0369442319761335
"find","Keyword",505404,1.8533723445443993
"man","Keyword",499869,1.833074887604895
"thing","Keyword",483332,1.7724318803043377
"things","Keyword",473666,1.7369855896490083
"hope","Keyword",464713,1.7041539488216584
"put","Keyword",428787,1.572409334908626
"deal","Keyword",417622,1.531466045526591
"world","Keyword",416362,1.526845486223289
"week","Keyword",380679,1.3959919801758935
"EU","Keyword",380450,1.3951522118580715
"read","Keyword",379183,1.3905059827808623
"lot","Keyword",377893,1.3857754101608153
"stop","Keyword",376691,1.3813675432698875
"Labour","Organisation",372271,1.3651589146027496
"support","Keyword",365025,1.338587031498206
"party","Keyword",364970,1.3383853404175063
"give","Keyword",359860,1.3196464054652268
"country","Keyword",358051,1.3130126024654865
"thought","Keyword",348429,1.2777276646747167
"big","Keyword",344187,1.2621717816869338
"game","Keyword",342407,1.2556443248933806
"home","Keyword",341790,1.2533817176789859
"free","Keyword",329019,1.20654904874052
"night","Keyword",326466,1.1971869154854966
"leave","Keyword",317894,1.1657524437808116
"vote","Keyword",317821,1.1654847447100647
"bad","Keyword",312507,1.1459977192039172
"point","Keyword",302392,1.1089048959079668
"change","Keyword",301607,1.1060262141197985
"Rain","Keyword",297463,1.0908297079667169
"team","Keyword",293318,1.0756295347030773
"show","Keyword",290943,1.0669201471274092
"live","Keyword",290126,1.0639241178013796
"hard","Keyword",288085,1.0564395451521422
"times","Keyword",285408,1.046622690187905
"days","Keyword",282248,1.0350346208240686
"wrong","Keyword",278049,1.0196364235902875
"Wind","Keyword",275604,1.010670338275547
"start","Keyword",275012,1.008499408825107
"government","Keyword",261090,0.9574458956341801
"person","Keyword",255911,0.9384539300533866
"feeling","Keyword",255010,0.9351498634404699
"place","Keyword",253721,0.9304229579309811
"care","Keyword",251327,0.9216438952547077
"Corbyn","Person",247350,0.9070597965648415
"full","Keyword",246678,0.9045954982697472
