"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423391]"
"Start Date","Tue Jan 14 23:00:00 UTC 2020"
"End Date","Fri Feb 14 22:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"people","Keyword",166661,6.9071858173523255
"time","Keyword",109360,4.532373146600886
"good","Keyword",90480,3.749900533142357
"face with tears of joy","Emoji",71284,2.9543314500941618
"day","Keyword",68564,2.841602344765391
"today","Keyword",62818,2.603462109758362
"feel","Keyword",61474,2.547760669478263
"work","Keyword",56966,2.3609287552054323
"love","Keyword",54395,2.254374883955333
"UK","Keyword",52764,2.186778865282088
"life","Keyword",51297,2.125979748547784
"years","Keyword",50305,2.0848667807219967
"great","Keyword",49056,2.0331025702236016
"man","Keyword",46084,1.9099294448423116
"find","Keyword",44410,1.8405513116362964
"thing","Keyword",43556,1.8051576881249833
"things","Keyword",42594,1.7652880560197342
"hope","Keyword",40694,1.6865434603856662
"Wind","Keyword",38519,1.5964016206466671
"Rain","Keyword",38068,1.5777101403145806
"put","Keyword",37596,1.5581483249781174
"world","Keyword",37436,1.5515172011352485
"made","Keyword",37084,1.5369287286809368
"Brexit","Person",36049,1.4940336463223787
"next","Keyword",35133,1.4560704623219543
"lot","Keyword",34327,1.4226661759635024
"read","Keyword",33561,1.3909196705657676
"long","Keyword",33339,1.3817189862337869
"week","Keyword",32442,1.344543248189703
"Weather","Keyword",32213,1.3350524521895972
"Humidity","Keyword",32148,1.3323585581284316
"thought","Keyword",31661,1.3121750749316994
"big","Keyword",31570,1.3084036232460678
"give","Keyword",31541,1.3072017320495477
"home","Keyword",30346,1.2576755258481207
"EU","Keyword",30197,1.251500291769449
"game","Keyword",29925,1.240227381236572
"free","Keyword",29173,1.2090610991750883
"bad","Keyword",29028,1.2030516431924883
"end","Keyword",28752,1.1916129545635394
"night","Keyword",28385,1.1764028142489589
"makes","Keyword",28261,1.1712636932707357
"health","Keyword",28127,1.165710127052333
"mm","Keyword",27858,1.1545615500915094
"Current","Keyword",27698,1.1479304262486407
"Gust","Keyword",27433,1.136947627383889
"team","Keyword",27161,1.1256747168510117
"point","Keyword",26867,1.1134900267897403
"Temperature","Keyword",26227,1.0869655314182647
"left","Keyword",26213,1.0863853080820136
"live","Keyword",25643,1.0627619293917934
"making","Keyword",25156,1.0425784461950611
"change","Keyword",25029,1.037314991644784
"money","Keyword",24982,1.0353670990159412
"start","Keyword",24716,1.0243428556271716
"days","Keyword",24448,1.0132357231903664
"mph","Keyword",24397,1.0111220524654518
"place","Keyword",23830,0.9876230073472853
"rolling on the floor laughing","Emoji",23572,0.9769303201506591
"play","Keyword",22573,0.9355272406567465
