"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423391]"
"Start Date","Sat Feb 29 23:00:00 UTC 2020"
"End Date","Sat Apr 04 21:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"people","Keyword",474952,11.845179086033372
"time","Keyword",241604,6.0255407870732345
"Coronavirus","Keyword",207396,5.172402183224783
"work","Keyword",158365,3.9495818229203685
"good","Keyword",141461,3.5280004688671
"home","Keyword",138770,3.460887630263376
"day","Keyword",126824,3.162957503931126
"today","Keyword",115110,2.8708133971291865
"feel","Keyword",114740,2.8615856935679163
"Times","Organisation",110105,2.745990001658493
"virus","Keyword",105118,2.6216155214961847
"health","Keyword",98217,2.4495063802088204
"UK","Keyword",95115,2.3721433087302803
"face with tears of joy","Emoji",94156,2.3482260986890426
"buying","Keyword",92028,2.295154333342062
"hope","Keyword",89601,2.2346255859280015
"government","Keyword",88058,2.1961435681035697
"stay","Keyword",87266,2.176391294534581
"support","Keyword",84836,2.1157877279024557
"things","Keyword",84756,2.113792548754073
"NHS","Keyword",82112,2.047851877900024
"life","Keyword",80434,2.0060029952626963
"thing","Keyword",79736,1.988595057193057
"#coronavirus","Hashtag",77917,1.9432296713067052
"week","Keyword",77248,1.9265449856783547
"panic buying","Phrase",77190,1.9250984807957772
"put","Keyword",76718,1.9133269238203192
"love","Keyword",75937,1.8938489873842328
"world","Keyword",74815,1.8658665998281654
"great","Keyword",74670,1.8622503376217217
"stop","Keyword",72243,1.8017215902076607
"care","Keyword",69574,1.7351574258697422
"staff","Keyword",69338,1.729271647382013
"working","Keyword",69214,1.72617911970202
"find","Keyword",68350,1.7046311848994866
"#covid19","Hashtag",67616,1.6863254162130752
"lot","Keyword",65858,1.642481354427365
"social","Keyword",64739,1.6145737860893616
"safe","Keyword",64489,1.6083388512506656
"next","Keyword",63373,1.5805061021307267
"years","Keyword",62269,1.552972629883045
"weeks","Keyword",60809,1.5165606104250604
"food","Keyword",60155,1.5002500208870317
"family","Keyword",59756,1.490299064884473
"days","Keyword",59008,1.4716441398470943
"made","Keyword",57856,1.4429135601103833
"long","Keyword",56491,1.4088708158911032
"COVID-19","Keyword",56396,1.4065015406523986
"read","Keyword",55550,1.3854025211582515
"advice","Keyword",54587,1.3613855521595946
"lives","Keyword",54260,1.3532302573905801
"give","Keyword",54057,1.3481674903015588
"man","Keyword",53305,1.3294128063067612
"thought","Keyword",52016,1.2972654822784446
"public","Keyword",50984,1.2715276712643075
"live","Keyword",50272,1.2537705768437013
"making","Keyword",49179,1.2265114417289225
"feeling","Keyword",48721,1.2150890411044315
"hard","Keyword",48572,1.2113730199405686
"current","Keyword",48329,1.205312663277356
