"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423397]"
"Start Date","Mon Dec 31 23:00:00 UTC 2018"
"End Date","Tue Dec 31 22:59:59 UTC 2019"

"Topic Name","Type","Mentions","Percentage Volume"
"good","Keyword",15145468,3.7569324672753264
"time","Keyword",14597425,3.6209868140830332
"people","Keyword",14216733,3.5265536717838337
"day","Keyword",13630348,3.3810970345360944
"today","Keyword",13163246,3.2652293261675425
"love","Keyword",11120294,2.7584617110707312
"face with tears of joy","Emoji",9061185,2.2476862463733824
"work","Keyword",8353187,2.072062708496177
"UK","Keyword",6988603,1.7335687158427686
"week","Keyword",6975332,1.7302767574316313
"next","Keyword",6297725,1.5621919060191143
"find","Keyword",6006229,1.4898844153241495
"years","Keyword",5747656,1.4257436902662786
"team","Keyword",5702223,1.4144737372489324
"Brexit","Location",5205236,1.2911928590275554
"life","Keyword",5171351,1.2827874629939944
"world","Keyword",5156713,1.2791564112855904
"man","Keyword",4910702,1.2181317725483214
"read","Keyword",4889175,1.2127918593001445
"morning","Keyword",4839335,1.2004287210881723
"night","Keyword",4786556,1.1873365446899045
"made","Keyword",4735500,1.1746717697189883
"live","Keyword",4725117,1.1720961986103426
"unrecognised_emoji","Emoji",4603352,1.1418915933860088
"game","Keyword",4575545,1.1349938850340764
"Check","Keyword",4556956,1.1303827619156503
"home","Keyword",4538114,1.125708880491293
"big","Keyword",4389656,1.0888829019063617
"show","Keyword",4307551,1.0685162192640267
"London","Location",4275894,1.0606634932131356
"thumbs up sign","Emoji",4162538,1.0325447954772546
"things","Keyword",4038696,1.0018249768085734
"give","Keyword",4008509,0.9943368938791031
"thing","Keyword",3989818,0.9897004689930683
"book","Keyword",3989211,0.9895498986701415
"feel","Keyword",3915767,0.9713316337656455
"business","Keyword",3846983,0.954269312361707
"smiling face with smiling eyes","Emoji",3829458,0.9499221214073569
"long","Keyword",3809248,0.9449088986291874
"latest","Keyword",3641644,0.9033336294301628
"tonight","Keyword",3599604,0.8929053322706261
"start","Keyword",3556298,0.8821629955248864
"watch","Keyword",3356987,0.8327225974477114
"lot","Keyword",3337587,0.8279103004711413
"smiling face with heart-shaped eyes","Emoji",3321227,0.8238520953919304
"join","Keyword",3270374,0.8112376758996868
"place","Keyword",3194600,0.792441439244912
"video","Keyword",3164918,0.7850786248707595
"working","Keyword",3070100,0.7615583993694999
"Labour","Organisation",3064377,0.7601387717614116
"vote","Keyword",2984348,0.7402870545068786
"season","Keyword",2982423,0.7398095456573993
"person","Keyword",2967380,0.7360780310481959
"hear","Keyword",2895253,0.7181864566137072
"money","Keyword",2878944,0.7141409024183007
"forward","Keyword",2833105,0.7027702384436099
"mate","Keyword",2649799,0.6572999853721055
"event","Keyword",2462492,0.6108372580633199
"Listen","Keyword",2454743,0.6089150678946889
"times","Keyword",2437066,0.6045301723454706
