"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423397]"
"Start Date","Tue Jan 14 23:00:00 UTC 2020"
"End Date","Fri Feb 14 22:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"good","Keyword",1348984,3.799849497133671
"people","Keyword",1245656,3.5087927842002133
"time","Keyword",1241300,3.4965227021165752
"day","Keyword",1193790,3.362695429436676
"today","Keyword",1114420,3.1391241679632267
"love","Keyword",1049232,2.955501093842889
"face with tears of joy","Emoji",843893,2.37709742419823
"work","Keyword",749734,2.111868163657994
"UK","Keyword",620979,1.7491880859080389
"week","Keyword",545965,1.5378869065182277
"next","Keyword",522058,1.4705451130440466
"find","Keyword",516436,1.4547089327239793
"years","Keyword",514663,1.4497147050990276
"team","Keyword",503621,1.418611342755701
"life","Keyword",468925,1.320878843220829
"man","Keyword",458643,1.2919162665486605
"read","Keyword",445626,1.2552496782835745
"unrecognised_emoji","Emoji",431342,1.2150141749588075
"made","Keyword",422073,1.1889050402404326
"morning","Keyword",421009,1.1859079403008115
"world","Keyword",416046,1.1719280465034985
"game","Keyword",407840,1.1488131949014937
"live","Keyword",406675,1.1455315958134684
"night","Keyword",402218,1.1329770145814264
"thumbs up sign","Emoji",397507,1.1197069602434975
"big","Keyword",396191,1.116000020844492
"home","Keyword",379425,1.068773162209443
"show","Keyword",379172,1.0680605059268073
"Check","Keyword",378108,1.065063405987186
"feel","Keyword",362508,1.0211209632634137
"book","Keyword",359367,1.0122733214303772
"give","Keyword",355417,1.001146869586858
"thing","Keyword",351111,0.9890176286657961
"long","Keyword",350757,0.9880204732347568
"things","Keyword",350605,0.9875923161005251
"London","Location",343969,0.9688998770034127
"full","Keyword",333485,0.9393683020344366
"smiling face with smiling eyes","Emoji",333181,0.9385119877659732
"start","Keyword",309020,0.8704547211859051
"lot","Keyword",303449,0.8547621988516657
"watch","Keyword",303398,0.8546185408658379
"rolling on the floor laughing","Emoji",299599,0.8439174293332987
"smiling face with heart-shaped eyes","Emoji",296206,0.8343599480408782
"days","Keyword",291394,0.8208053945545455
"latest","Keyword",284303,0.8008313008779897
"Brexit","Person",274578,0.7734376947569201
"working","Keyword",271741,0.7654463671923469
"Join","Keyword",270627,0.7623084260901494
"hear","Keyword",268044,0.7550325716314632
"person","Keyword",267487,0.7534636010803644
"coming","Keyword",263890,0.743331487844633
"making","Keyword",259281,0.7303487494783595
"money","Keyword",251988,0.709805657504996
"video","Keyword",247935,0.6983890728665698
"listen","Keyword",242009,0.6816965782780393
"mate","Keyword",238210,0.6709954667455001
"family","Keyword",237299,0.6684293407633619
"change","Keyword",236184,0.6652885828379128
"left","Keyword",235881,0.6644350853927011
"call","Keyword",235222,0.6625787988699469
