"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423397]"
"Start Date","Sat Feb 29 23:00:00 UTC 2020"
"End Date","Sat May 02 21:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"people","Keyword",3651825,4.2634663109778455
"time","Keyword",3360583,3.9234444163520594
"good","Keyword",3238413,3.7808122586741413
"day","Keyword",2873879,3.355222744333778
"today","Keyword",2592665,3.0269084315791077
"love","Keyword",2371017,2.768136781542313
"coronavirus","Keyword",2096236,2.4473329269225537
"work","Keyword",2083523,2.4324906365029797
"face with tears of joy","Emoji",2073544,2.420840261603512
"home","Keyword",1810312,2.113519739954386
"UK","Keyword",1489033,1.7384299717084672
"week","Keyword",1454388,1.697982307775002
"Stay","Keyword",1262371,1.473804530736115
"unrecognised_emoji","Emoji",1183761,1.3820282033639193
"lockdown","Keyword",1144608,1.3363174980388515
"next","Keyword",1130679,1.3200555407310368
"world","Keyword",1124550,1.3128999993181865
"made","Keyword",1122423,1.3104167497529826
"live","Keyword",1107379,1.292853041967875
"find","Keyword",1105505,1.290665167174649
"read","Keyword",1080078,1.2609794188462835
"life","Keyword",1068327,1.2472602530537549
"morning","Keyword",1050954,1.2269774628815484
"years","Keyword",1031352,1.2040923392439733
"thumbs up sign","Emoji",1010940,1.1802615493403825
"NHS","Keyword",972496,1.1353785938703829
"things","Keyword",971939,1.1347283023763448
"working","Keyword",964645,1.1262126360253362
"thing","Keyword",963531,1.1249120530372605
"man","Keyword",954920,1.1148588033870637
"feel","Keyword",926961,1.0822169723604866
"team","Keyword",925340,1.0803244723392385
"times","Keyword",919920,1.0739966807814556
"check","Keyword",888162,1.0369195582183441
"give","Keyword",877070,1.0239697678200184
"smiling face with smiling eyes","Emoji",876614,1.0234373927369282
"birthday","Keyword",873676,1.0200073094164919
"government","Keyword",861469,1.005755768540873
"big","Keyword",845109,0.9866556449457944
"days","Keyword",820391,0.9577976464724967
"long","Keyword",809957,0.9456160639791563
"online","Keyword",787772,0.9197153156932872
"lot","Keyword",775565,0.9054637748176685
"rolling on the floor laughing","Emoji",768221,0.8968897340057947
"family","Keyword",762903,0.8906810263481769
"show","Keyword",756875,0.8836434013462738
"health","Keyword",751709,0.877612152049686
"full","Keyword",751658,0.8775526100996036
"watch","Keyword",750341,0.8760150268004154
"night","Keyword",744871,0.8696288607817676
"put","Keyword",731854,0.8544316536401333
"#covid19","Hashtag",725725,0.8472761122272826
"game","Keyword",709719,0.8285892798151294
"#coronavirus","Hashtag",700349,0.8176499058489997
"staff","Keyword",700298,0.817590363898917
"xx","Keyword",698222,0.8151666562837958
"social","Keyword",686876,0.801920323624275
"end","Keyword",675479,0.7886144490146718
"book","Keyword",675327,0.7884369906536417
"start","Keyword",673200,0.785953741088438
