"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423399]"
"Start Date","Mon Dec 31 23:00:00 UTC 2018"
"End Date","Tue Dec 31 22:59:59 UTC 2019"

"Topic Name","Type","Mentions","Percentage Volume"
"people","Keyword",2153580,5.501997277283157
"time","Keyword",1853816,4.736155882105124
"good","Keyword",1469410,3.754069883270018
"day","Keyword",1222083,3.1221952927748364
"today","Keyword",1164771,2.975773767706972
"face with tears of joy","Emoji",1099820,2.809836015147597
"hear","Keyword",1071792,2.738229676080698
"love","Keyword",1041890,2.661835614757078
"feel","Keyword",941061,2.4042362297928865
"years","Keyword",897883,2.293924451991026
"Brexit","Person",862716,2.2040792926515924
"hope","Keyword",844643,2.1579061313144985
"great","Keyword",836865,2.138034784616113
"life","Keyword",822792,2.1020808810308247
"work","Keyword",800915,2.046189205571764
"man","Keyword",717201,1.832315469713109
"UK","Keyword",716820,1.83134208541225
"next","Keyword",654319,1.6716636282258557
"made","Keyword",631809,1.6141547552275717
"week","Keyword",611476,1.5622077132607082
"leave","Keyword",604079,1.5433097508631823
"game","Keyword",603668,1.5422597221291845
"thing","Keyword",591561,1.511328583728908
"home","Keyword",574075,1.4666550984668916
"Labour","Organisation",558107,1.4258598215216851
"team","Keyword",557845,1.425190460138942
"world","Keyword",554174,1.4158117363372227
"find","Keyword",551317,1.408512631487996
"loudly crying face","Emoji",535808,1.3688900143698093
"party","Keyword",531005,1.3566192406243291
"things","Keyword",526893,1.3461138436554734
"long","Keyword",518863,1.3255986837187246
"end","Keyword",514286,1.3139052980362216
"night","Keyword",512969,1.3105406074214394
"lot","Keyword",503827,1.2871844938296888
"happy","Keyword",492348,1.2578577788964458
"vote","Keyword",491370,1.2553591703761295
"stop","Keyword",491329,1.2552544229841736
"point","Keyword",490212,1.252400695256982
"big","Keyword",489820,1.251399207997305
"read","Keyword",480117,1.2266098435058634
"days","Keyword",478825,1.2233090232520305
"deal","Keyword",476643,1.2177344181484206
"give","Keyword",473384,1.2094082778951374
"left","Keyword",468947,1.1980725662339475
"thought","Keyword",457633,1.1691673956829665
"family","Keyword",453000,1.157330940391938
"put","Keyword",447683,1.1437469920253511
"win","Keyword",444991,1.136869431558386
"bad","Keyword",443688,1.1335405083457357
"country","Keyword",436616,1.115472860640544
"live","Keyword",433368,1.1071748233460783
"times","Keyword",424133,1.0835811120115981
"makes","Keyword",416139,1.0631579253946155
"full","Keyword",409355,1.0458260642475536
"money","Keyword",402117,1.0273343173456624
"shit","Keyword",381121,0.9736934334064368
"unrecognised_emoji","Emoji",361277,0.9229956956997312
"tonight","Keyword",357303,0.9128428631233128
"start","Keyword",344918,0.881201486309286
