"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423399]"
"Start Date","Tue Jan 14 23:00:00 UTC 2020"
"End Date","Fri Feb 14 22:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"people","Keyword",184234,5.332837005953324
"time","Keyword",163304,4.726997266629404
"good","Keyword",133500,3.8642907405515197
"day","Keyword",117512,3.401502123623147
"today","Keyword",101637,2.9419844044751673
"hear","Keyword",100402,2.9062360968753085
"face with tears of joy","Emoji",97751,2.829500256027353
"love","Keyword",97328,2.8172560988494255
"feel","Keyword",87600,2.5356694297551545
"years","Keyword",81798,2.3677247490309603
"life","Keyword",77619,2.2467594231525725
"great","Keyword",73737,2.1343910586969845
"work","Keyword",72173,2.0891195177365156
"hope","Keyword",72167,2.088945841748176
"man","Keyword",66896,1.9363714859920185
"UK","Keyword",64801,1.8757296200635134
"made","Keyword",57554,1.6659579721475817
"game","Keyword",54733,1.5843013116300102
"week","Keyword",52092,1.50785493076262
"thing","Keyword",51917,1.5027893811027209
"next","Keyword",51752,1.4980132914233877
"Brexit","Person",51006,1.4764195768731896
"team","Keyword",50327,1.4567652441927816
"world","Keyword",49498,1.4327690118038885
"things","Keyword",49488,1.4324795518233229
"loudly crying face","Emoji",48643,1.4080201834655248
"find","Keyword",48561,1.4056466116248865
"home","Keyword",47671,1.3798846733545431
"long","Keyword",47655,1.379421537385638
"big","Keyword",46291,1.3399391960364824
"leave","Keyword",45895,1.3284765808060823
"lot","Keyword",45781,1.325176737027634
"end","Keyword",45416,1.3146114477369872
"give","Keyword",45308,1.3114852799468784
"point","Keyword",44376,1.2845076097581591
"EU","Keyword",43764,1.266792658947541
"night","Keyword",43722,1.265576927029165
"read","Keyword",43264,1.2523196599192579
"left","Keyword",42976,1.2439832124789671
"days","Keyword",42888,1.2414359646499893
"family","Keyword",42775,1.2381650668695974
"happy","Keyword",42394,1.2271366416100458
"thought","Keyword",41818,1.210463746729464
"stop","Keyword",41813,1.2103190167391813
"bad","Keyword",39759,1.1508639367309952
"put","Keyword",38148,1.104231933861868
"live","Keyword",38055,1.1015399560426073
"support","Keyword",37659,1.0900773408122073
"makes","Keyword",37514,1.0858801710940054
"full","Keyword",37000,1.0710019280929306
"free","Keyword",36768,1.0642864565438073
"money","Keyword",36583,1.0589314469033428
"hard","Keyword",34611,1.001849938735795
"rolling on the floor laughing","Emoji",33448,0.9681857429960092
"unrecognised_emoji","Emoji",32877,0.9516575781057102
"country","Keyword",31904,0.9234931219966719
"fucking","Keyword",31868,0.9224510660666355
"tonight","Keyword",31162,0.9020151914387
"wrong","Keyword",31116,0.900683675528098
"place","Keyword",31008,0.8975575077379888
