"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423399]"
"Start Date","Sat Feb 29 23:00:00 UTC 2020"
"End Date","Sat Apr 04 21:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"people","Keyword",399718,7.579086682492851
"time","Keyword",287215,5.44590781879271
"day","Keyword",211871,4.017303885505389
"good","Keyword",189196,3.58736129966856
"today","Keyword",164684,3.1225872020265606
"home","Keyword",162928,3.089291538047312
"work","Keyword",162017,3.072017990276756
"Coronavirus","Keyword",155011,2.939176633876632
"hear","Keyword",153210,2.9050277211052036
"love","Keyword",141427,2.681609265144218
"face with tears of joy","Emoji",140279,2.65984194040152
"hope","Keyword",136038,2.5794279820097232
"feel","Keyword",128960,2.4452214275421125
"self-isolating","Keyword",115854,2.1967174570910664
"great","Keyword",112786,2.1385448505487337
"week","Keyword",108385,2.0550971186736344
"life","Keyword",104972,1.9903829380579299
"UK","Keyword",103186,1.9565184415505614
"days","Keyword",100906,1.9132871694134956
"years","Keyword",96819,1.8357932179993781
"stay","Keyword",92691,1.7575218621301643
"family","Keyword",92232,1.748818724449939
"thing","Keyword",91234,1.7298955623478374
"times","Keyword",86668,1.6433192515680817
"made","Keyword",85479,1.6207745223702872
"world","Keyword",85047,1.6125833339653692
"next","Keyword",84599,1.6040887682121214
"things","Keyword",83415,1.5816388444356801
"government","Keyword",81979,1.554410727423037
"weeks","Keyword",81469,1.5447405744450091
"man","Keyword",80115,1.5190672663425586
"support","Keyword",78082,1.4805193820203415
"virus","Keyword",76980,1.4596242671540929
"health","Keyword",75591,1.43328732110217
"loudly crying face","Emoji",73526,1.3941326820832922
"long","Keyword",73192,1.3877996799368975
"lot","Keyword",72528,1.3752095199811905
"social","Keyword",71910,1.3634915699019332
"safe","Keyword",71833,1.3620315664130938
"working","Keyword",71606,1.357727400283658
"live","Keyword",71473,1.3552055760756623
"care","Keyword",68786,1.3042571426404448
"find","Keyword",68631,1.3013181745784952
"NHS","Keyword",66052,1.2524175382445069
"unrecognised_emoji","Emoji",65069,1.2337787924064652
"read","Keyword",64668,1.2261753976139371
"thought","Keyword",64482,1.2226486359395976
"happy","Keyword",64132,1.2160122564448725
"put","Keyword",63803,1.209774059719831
"stop","Keyword",63489,1.203820279258849
"give","Keyword",63329,1.2007865057755462
"end","Keyword",63273,1.1997246850563903
"big","Keyword",61522,1.1665238264984945
"hard","Keyword",60091,1.1393905149072043
"point","Keyword",58928,1.1173387739004468
"#coronavirus","Hashtag",58563,1.110417978141662
"staff","Keyword",58305,1.1055260183998363
"full","Keyword",57502,1.09030026773051
"money","Keyword",57224,1.0850290863032712
"bad","Keyword",56504,1.0713771056284083
