"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423394]"
"Start Date","Mon Dec 31 23:00:00 UTC 2018"
"End Date","Tue Dec 31 22:59:59 UTC 2019"

"Topic Name","Type","Mentions","Percentage Volume"
"good","Keyword",23537601,3.555102782024738
"face with tears of joy","Emoji",21481303,3.244520971224568
"time","Keyword",21342218,3.223513670164536
"people","Keyword",21029382,3.176263139665804
"love","Keyword",18453282,2.787170798574036
"day","Keyword",17863213,2.6980471897794716
"great","Keyword",16648155,2.514525679829438
"today","Keyword",16448086,2.484307398089642
"work","Keyword",11534195,1.7421167404832731
"hope","Keyword",9755727,1.4734981784411187
"happy","Keyword",8990800,1.3579641397025983
"week","Keyword",8988671,1.3576425770325993
"next","Keyword",8982624,1.3567292423846502
"UK","Keyword",8943445,1.3508116736444482
"man","Keyword",8512647,1.2857442452225503
"years","Keyword",8483859,1.2813961258501074
"find","Keyword",7550123,1.1403652938941808
"life","Keyword",7290690,1.1011807151408481
"Brexit","Location",7276466,1.0990323321356505
"team","Keyword",7123498,1.075928152471769
"game","Keyword",6820883,1.030221394659772
"night","Keyword",6804786,1.0277901150454116
"free","Keyword",6782811,1.0244710264248256
"morning","Keyword",6757004,1.0205731552061015
"made","Keyword",6651732,1.0046729460017179
"world","Keyword",6647814,1.0040811740237676
"read","Keyword",6339664,0.9575384136854933
"thing","Keyword",6337790,0.9572553660370301
"amazing","Keyword",6253811,0.9445712366505368
"home","Keyword",6236861,0.9420111205131565
"thumbs up sign","Emoji",6192742,0.9353474176302609
"unrecognised_emoji","Emoji",6177241,0.933006157438784
"feel","Keyword",6153393,0.9294041722090349
"rolling on the floor laughing","Emoji",6046162,0.9132080770156762
"give","Keyword",5955199,0.8994690891570021
"long","Keyword",5833489,0.88108609593691
"things","Keyword",5697810,0.8605932347331563
"support","Keyword",5692444,0.8597827578486029
"show","Keyword",5679754,0.8578660691298207
"win","Keyword",5642534,0.8522443863785938
"thought","Keyword",5433182,0.8206240068155941
"lovely","Keyword",5359253,0.809457822395512
"London","Location",5332424,0.8054055890120444
"Check","Keyword",5318797,0.8033473764690306
"days","Keyword",5201515,0.7856331852699605
"mate","Keyword",5089770,0.768755298675768
"start","Keyword",5076057,0.7666840967529421
"lot","Keyword",5072140,0.7660924758142921
"smiling face with heart-shaped eyes","Emoji",5037475,0.760856698474924
"smiling face with smiling eyes","Emoji",4990290,0.7537299090977977
"Party","Organisation",4953410,0.7481595797086186
"nice","Keyword",4743803,0.716500685124083
"wait","Keyword",4674814,0.7060806348466947
"fucking","Keyword",4573204,0.6907335315594254
"fuck","Keyword",4557362,0.6883407669666007
"money","Keyword",4436419,0.6700736208897164
"Yeah","Keyword",4434034,0.6697133921588814
"business","Keyword",4381227,0.6617374598363656
"loudly crying face","Emoji",4356017,0.6579297590798253
"Labour","Organisation",4330550,0.654083241223149
