"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000443034]"
"Start Date","Tue Jan 14 23:00:00 UTC 2020"
"End Date","Fri Feb 14 22:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"good","Keyword",1950344,3.630622612134852
"face with tears of joy","Emoji",1805467,3.3609298234892284
"time","Keyword",1689890,3.145779845001992
"people","Keyword",1669022,3.106933450381335
"love","Keyword",1557362,2.8990750823852394
"day","Keyword",1452090,2.703108163921286
"great","Keyword",1341027,2.4963611289512846
"today","Keyword",1300485,2.4208910057621593
"work","Keyword",955881,1.7794005432426663
"hope","Keyword",758112,1.4112477438496884
"years","Keyword",716974,1.3346681491638261
"man","Keyword",713993,1.3291189301507833
"UK","Keyword",713823,1.3288024701601033
"next","Keyword",693467,1.2909091785702007
"Happy","Keyword",686398,1.2777500275459808
"week","Keyword",665616,1.2390637244500209
"rolling on the floor laughing","Emoji",628055,1.1691428202739387
"life","Keyword",597734,1.1126993886421133
"find","Keyword",593049,1.1039781236048418
"team","Keyword",576782,1.0736966255554734
"morning","Keyword",566476,1.0545117040028336
"thumbs up sign","Emoji",559577,1.0416690129692936
"game","Keyword",544161,1.0129716764026824
"big","Keyword",535814,0.9974334908602911
"read","Keyword",534707,0.9953727778621567
"night","Keyword",525423,0.9780903393123113
"unrecognised_emoji","Emoji",521590,0.9709550972871541
"thing","Keyword",514692,0.9581142677829712
"feel","Keyword",510433,0.950186014251757
"world","Keyword",502682,0.9357573002061029
"long","Keyword",492973,0.9176837116795572
"live","Keyword",490503,0.9130857341679115
"home","Keyword",487863,0.9081712966655858
"free","Keyword",480538,0.8945355941259888
"Amazing","Keyword",472021,0.8786809485929175
"things","Keyword",465462,0.8664711775407378
"give","Keyword",461630,0.8593377970449376
"lot","Keyword",426539,0.7940148703805008
"support","Keyword",425772,0.7925870773637267
"watch","Keyword",422110,0.7857701568586067
"smiling face with smiling eyes","Emoji",417851,0.7778419033273926
"smiling face with heart-shaped eyes","Emoji",410867,0.7648409822985125
"days","Keyword",402606,0.7494628882808182
"play","Keyword",402180,0.7486698767747612
"put","Keyword",395877,0.7369366572379584
"lovely","Keyword",389915,0.7258382192118727
"London","Location",388638,0.7234610462230584
"loudly crying face","Emoji",386508,0.7194959886927729
"stop","Keyword",385060,0.7168004941839214
"book","Keyword",377139,0.7020553201475873
"Yeah","Keyword",375947,0.699836377154113
"wait","Keyword",372455,0.693335916639673
"point","Keyword",364960,0.6793837541093959
"Brexit","Person",360105,0.6703460290814445
"hear","Keyword",347500,0.646881451537196
"left","Keyword",338897,0.6308667144794277
"tomorrow","Keyword",336598,0.626587058487819
"working","Keyword",334639,0.6229403224775705
"absolutely","Keyword",324418,0.6039136309202706
"makes","Keyword",315560,0.5874242038764822
