"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000443034]"
"Start Date","Tue Jan 14 23:00:00 UTC 2020"
"End Date","Wed Apr 15 21:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"people","Keyword",6396729,3.643508263960112
"good","Keyword",6318115,3.598730572320688
"time","Keyword",5904266,3.3630066184793375
"face with tears of joy","Emoji",5756408,3.2787882867518854
"love","Keyword",4827271,2.7495618121191305
"day","Keyword",4735030,2.697022327364353
"today","Keyword",4187717,2.3852787098884836
"great","Keyword",4068988,2.3176519442912977
"work","Keyword",3473042,1.9782074913726306
"hope","Keyword",2860659,1.6294006994624706
"home","Keyword",2493824,1.4204554160199787
"week","Keyword",2379524,1.355351361342871
"UK","Keyword",2375862,1.3532655254003725
"happy","Keyword",2318456,1.320567683206199
"next","Keyword",2159355,1.2299454592063517
"man","Keyword",2110382,1.2020509634084342
"years","Keyword",2083468,1.1867210375328463
"rolling on the floor laughing","Emoji",2057661,1.172021646989958
"life","Keyword",1903244,1.0840673791765292
"made","Keyword",1861681,1.060393539941668
"thumbs up sign","Emoji",1850012,1.0537470026360936
"unrecognised_emoji","Emoji",1838173,1.0470036351529588
"morning","Keyword",1837662,1.0467125750309991
"find","Keyword",1824546,1.0392418420376048
"thing","Keyword",1802657,1.026774102292835
"world","Keyword",1796184,1.023087150884918
"read","Keyword",1719785,0.979571099500173
"live","Keyword",1695681,0.9658417195007241
"Big","Keyword",1649092,0.9393051245457653
"team","Keyword",1624989,0.9255763141355962
"support","Keyword",1606932,0.9152912405108846
"long","Keyword",1585469,0.9030661457992945
"night","Keyword",1556851,0.8867656397909877
"free","Keyword",1543905,0.8793917369751535
"game","Keyword",1536155,0.8749774200569769
"give","Keyword",1507367,0.8585800838711102
"days","Keyword",1487011,0.8469855244922194
"lot","Keyword",1440337,0.8204005144484808
"mate","Keyword",1411719,0.804100008440174
"stay","Keyword",1411634,0.804051593351394
"working","Keyword",1404479,0.7999761820546774
"smiling face with smiling eyes","Emoji",1387445,0.7902737982631651
"put","Keyword",1386679,0.7898374928748653
"show","Keyword",1380461,0.7862957867332883
"lovely","Keyword",1371518,0.7812019498043524
"stop","Keyword",1321607,0.7527731792620153
"loudly crying face","Emoji",1306532,0.7441866208695621
"Nice","Keyword",1299804,0.7403544241953051
"start","Keyword",1287028,0.733077351557031
"smiling face with heart-shaped eyes","Emoji",1241205,0.706977061990372
"check","Keyword",1210459,0.6894644699947259
"play","Keyword",1209266,0.6887849499839666
"bad","Keyword",1184311,0.674570849507438
"hear","Keyword",1171194,0.6670995469247641
"point","Keyword",1163444,0.6626852300065875
"wait","Keyword",1153990,0.6573003329556918
"safe","Keyword",1152031,0.6561845075566328
"tonight","Keyword",1129971,0.643619368045023
"tomorrow","Keyword",1091048,0.6214492445087407
"book","Keyword",1086619,0.6189265335886628
