"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000443034]"
"Start Date","Sat Feb 29 23:00:00 UTC 2020"
"End Date","Sun Apr 05 21:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"people","Keyword",3085767,4.171362394667174
"good","Keyword",2639383,3.56793723937155
"time","Keyword",2636317,3.5637925981520255
"face with tears of joy","Emoji",2373647,3.2087133714290657
"day","Keyword",2064815,2.791232015555517
"love","Keyword",1923686,2.6004528013773296
"today","Keyword",1764585,2.3853789061824093
"work","Keyword",1648922,2.2290248170193623
"great","Keyword",1648241,2.228104236239683
"Coronavirus","Keyword",1567157,2.1184942921288044
"home","Keyword",1386849,1.8747526192618484
"hope","Keyword",1323311,1.7888614862526602
"UK","Keyword",1058683,1.4311354208122091
"week","Keyword",1036879,1.4016606141747272
"happy","Keyword",948045,1.2815741633934905
"next","Keyword",909973,1.2301081553994428
"Stay","Keyword",880589,1.1903866493346946
"rolling on the floor laughing","Emoji",869346,1.1751882797224578
"world","Keyword",820032,1.1085252539234856
"man","Keyword",812707,1.0986232653608567
"unrecognised_emoji","Emoji",807086,1.0910247564583946
"thing","Keyword",806660,1.090448886543353
"years","Keyword",798994,1.0800859316872284
"made","Keyword",798909,1.0799710280656827
"morning","Keyword",784941,1.0610889835274167
"thumbs up sign","Emoji",781790,1.056829438686346
"life","Keyword",776850,1.050151510563563
"live","Keyword",742952,1.0043279462910732
"find","Keyword",734349,0.9926983479833198
"feel","Keyword",734179,0.9924685407402281
"working","Keyword",726684,0.9823367449345076
"safe","Keyword",722936,0.9772701711279913
"things","Keyword",721233,0.9749680432751371
"read","Keyword",718422,0.97116811292025
"times","Keyword",702751,0.9499839405291298
"days","Keyword",696703,0.9418082099043136
"government","Keyword",675836,0.9136000467184607
"big","Keyword",669534,0.9050809570363192
"long","Keyword",667745,0.9026625737546069
"free","Keyword",664849,0.8987477397781739
"thought","Keyword",645004,0.8719211236654959
"give","Keyword",641768,0.8675466752028793
"put","Keyword",618686,0.8363442588202723
"team","Keyword",617323,0.8345017454536017
"lot","Keyword",612894,0.8285145908674061
"night","Keyword",602844,0.8149289273787483
"lovely","Keyword",598245,0.808711965549461
"mate","Keyword",592964,0.8015730711331822
"smiling face with smiling eyes","Emoji",590750,0.7985801697437406
"virus","Keyword",584958,0.7907505017908742
"stop","Keyword",581466,0.786029990656308
"Watch","Keyword",576185,0.7788910962400291
"care","Keyword",569883,0.7703720065578876
"game","Keyword",560684,0.7579367310920008
"lockdown","Keyword",549271,0.7425085542366723
"#coronavirus","Hashtag",544672,0.736291592407385
"loudly crying face","Emoji",543905,0.7352547561988476
"Nice","Keyword",543565,0.7347951417126641
"show","Keyword",543565,0.7347951417126641
"full","Keyword",542969,0.7339894645545308
