"country2";"milliontweets";"meantweetsperday"
"Australia";143,51;302762,96
"Austria";8,4;17563,3
"BelgiumDutch";9,18;19418,23
"CanadaEnglish";316,38;668879,86
"Chile";116,94;246715,59
"Ecuador";42,18;85910,8
"France";388,18;813796,4
"Germany";95,52;200245,44
"Ireland";63,37;133965,61
"Italy";109,25;229036,56
"Mexico";372,24;785306,32
"Netherlands";64,76;136910,04
"NewZealand";24,35;50198,14
"Peru";46,37;97827,46
"Spain";478,09;1008619,22
"Switzerland";4,67;9785,57
"UK";1108,48;2323861,38
"USA";4943,43;10363584,16
